"This data table captures monthly data on unemployment, CalFresh (federal) public assistance households, CalFresh non-assistance households, California Food Assistance Program public assistance households, California Food Assistance Program non-assistance households, the total number of all public assistance households, the total number of all non-public assistance households, CalFresh households, CalFresh persons, CalFresh public assistance persons, CalFresh non-assistance persons, the total number of CalFresh persons, California Food Assistance Program public assistance persons, California Food Assistance Program non-public assistance persons, the total number of California Food Assistance Program persons, CalFresh issuances, State issuances, total number of issuances, Medi-Cal enrollment, timeliness 30 day percentage, timeliness expedited percentage, negative error rate completed cases, negative error rate, active error rate, applications received, online applications received, child only household, child only persons data, and Supplemental Security Income data. Note, certain cells are blank to meet de-identification guidelines. The data table begins in cell A2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,Unemployment Monthly,Federal Public Assistance Households,Federal Non-Assistance Households,CFAP Public Assistance Households,CFAP Non-Assistance Households,All Public Assistance Households,All Non-Assistance Households,CalFresh Households,CalFresh Persons,Federal Pubic Assistance Persons,Federal Non Assistance Persons,All Federal Persons,CFAP Public Assistance Persons,CFAP Non Assistance Persons,All CFAP Persons,All Public Assistance Persons,All Non-Assistance Persons,Federal Issuances,State Issuances,Total Issuances,Medi-Cal Enrollement ,Timeliness 30 day Percentage,Timeliness Expedited Services Percentage  Monthly,Procedural_Denials,Negative Error Rate on Completed Cases,Negative Error Rate,Active Error Rate,Applications Recevied,Online Applications Received,Child Only Households Monthly,Child Only Persons,EBT_FSP_dollars,EBT_SNB_dollars,EBT_TNB_dollars,All_GCF_apps_submit,SSA_GCF_apps_submit,CfA_GCF_apps_submit,CBO_GCF_apps_submit,Continuing CalFresh SSI Persons Unaided in the Household - No Reversal Determination Yet,Continuing CalFresh Cases with at Least One SSI Person Unaided in the Household - No Reversal Determination Yet,New Apps with at Least Some SSI - Approved,New Apps with at Least Some SSI - Denied,SSI Persons in New Apps Disposed,Average Age of SSI Persons Newly Applying,SNB Determination - Approved Cases,Active TNB Cases,SSI Disposed HH Language - English,SSI Disposed HH Language - Spanish,SSI Disposed HH Language - Armenian,SSI Disposed HH Language - Korean,SSI Disposed HH Language - Russian,SSI Disposed HH Language - Cantonese,SSI Disposed HH Language - Vietnamese,SSI Disposed HH Language - Farsi,SSI Disposed HH Language - Cambodian,SSI Disposed HH Language - Mandarin,SSI Disposed HH Language - Other, SSI Person Race/Ethnicity - American Indian or Alaska Native, SSI Person Race/Ethnicity - Black or African American, SSI Person Race/Ethnicity - Other, SSI Person Race/Ethnicity - Unknown, SSI Person Race/Ethnicity - White, SSI Person Race/Ethnicity - More Than One Race/Ethnicity, SSI Person Race/Ethnicity - Hispanic, SSI Person Race/Ethnicity - Asian, SSI Person Race/Ethnicity - Native Hawaiian or Other Pacific Islander
San Benito,US-06069,-121.2131455,36.5928495,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.072,,,,,,,2702.0,5988.0,,,,,,,,,,,,17842.0,0.9908,,,100.0,0.28,0.0263,,,412.0,943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.071,,,,,,,181362.0,403228.0,,,,,,,,,,,,845971.0,0.9995,,,92.0,0.098,0.0339,,,21019.0,44668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,US-06073,-116.693716,33.019645,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.056,,,,,,,143440.0,291188.0,,,,,,,,,,,,851874.0,0.9515,,,39.0,0.462,0.0108,,,16056.0,32961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.039,,,,,,,34244.0,52180.0,,,,,,,,,,,,222391.0,0.9668,,,8.0,0.75,0.0756,,,3991.0,6402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.09,,,,,,,53401.0,122077.0,,,,,,,,,,,,290129.0,0.992,,,28.0,0.071,0.0259,,,7113.0,15195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.051,,,,,,,10090.0,18642.0,,,,,,,,,,,,60449.0,0.9646,,,100.0,0.28,0.0263,,,1071.0,2185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.037,,,,,,,16305.0,31752.0,,,,,,,,,,,,152671.0,0.988,,,100.0,0.28,0.0263,,,3996.0,7779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.052,,,,,,,17002.0,36443.0,,,,,,,,,,,,134769.0,0.9645,,,100.0,0.28,0.0263,,,4307.0,9644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.044,,,,,,,55399.0,110974.0,,,,,,,,,,,,434587.0,0.98,,,11.0,0.455,0.018,,,10495.0,21315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.066,,,,,,,13880.0,25934.0,,,,,,,,,,,,77000.0,0.9731,,,100.0,0.28,0.0263,,,2440.0,5107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,US-06089,-122.0883555,40.735175,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.079,,,,,,,13115.0,25293.0,,,,,,,,,,,,64849.0,0.9668,,,100.0,0.28,0.0263,,,625.0,1023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,US-06091,-120.0617973,39.58418,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.08,,,,,,,171.0,317.0,,,,,,,,,,,,815.0,1.0,,,100.0,0.28,0.0263,,,1.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.084,,,,,,,3250.0,6992.0,,,,,,,,,,,,17030.0,0.9854,,,100.0,0.28,0.0263,,,147.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,US-06095,-121.6688337,38.2894915,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.065,,,,,,,23149.0,44119.0,,,,,,,,,,,,118008.0,0.9752,,,4.0,0.75,0.0207,,,2318.0,4619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.047,,,,,,,20183.0,36183.0,,,,,,,,,,,,123126.0,0.925,,,100.0,0.28,0.0263,,,3289.0,6691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.096,,,,,,,43553.0,92572.0,,,,,,,,,,,,230211.0,0.9917,,,20.0,0.1,0.0154,,,5315.0,11413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,US-06101,-121.714735,39.02038,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.095,,,,,,,5712.0,13236.0,,,,,,,,,,,,40564.0,0.9787,,,100.0,0.28,0.0263,,,668.0,1411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,US-06103,-122.6595518,40.125305,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.085,,,,,,,4816.0,10543.0,,,,,,,,,,,,26942.0,0.9548,,,100.0,0.28,0.0263,,,422.0,886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,US-06105,-123.5069171,40.672495,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.072,,,,,,,1035.0,1867.0,,,,,,,,,,,,5023.0,0.9836,,,100.0,0.28,0.0263,,,34.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,US-06107,-119.0889841,36.266965,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.114,,,,,,,52900.0,123955.0,,,,,,,,,,,,245243.0,0.991,,,9.0,0.333,0.0319,,,8111.0,18779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.071,,,,,,,3156.0,5603.0,,,,,,,,,,,,14409.0,0.8767,,,100.0,0.28,0.0263,,,111.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,US-06111,-119.0838699,34.47326,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.061,,,,,,,37333.0,75003.0,,,,,,,,,,,,226602.0,0.9783,,,10.0,0.4,0.0681,,,6868.0,15312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,US-06113,-121.9008022,38.619495,CalWIN,July,42186.0,2015.0,2015.0,2015/16,0.064,,,,,,,10254.0,20610.0,,,,,,,,,,,,56786.0,0.9476,,,100.0,0.28,0.0263,,,913.0,1821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,US-06115,-121.499162,39.278915,C-IV,July,42186.0,2015.0,2015.0,2015/16,0.092,,,,,,,6306.0,13621.0,,,,,,,,,,,,30677.0,1.0,,,100.0,0.28,0.0263,,,533.0,1065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,August,42217.0,2015.0,2015.0,2015/16,0.061,279108.0,1849737.0,1989.0,18895.0,281097.0,1868632.0,2149729.0,4501646.0,707662.0,3746025.0,4453687.0,6558.0,41401.0,47959.0,714220.0,3787426.0,627492787.0,6210421.0,633703208.0,12961488.0,0.9709,,,776.0,0.317,0.0446,,,323883.0,677534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,US-06001,-121.7871814,37.680185,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.048,,,,,,,62557.0,121947.0,,,,,,,,,,,,429357.0,0.8852,,,16.0,0.813,0.0356,,,9056.0,17219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,US-06003,-120.0354892,38.6301005,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.074,,,,,,,99.0,172.0,,,,,,,,,,,,362.0,1.0,,,116.0,0.276,0.0239,,,1.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,US-06005,-120.238969,38.46328,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.061,,,,,,,1782.0,3390.0,,,,,,,,,,,,8009.0,0.9444,,,116.0,0.276,0.0239,,,62.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,US-06007,-121.5660076,39.723785,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.069,,,,,,,16634.0,32123.0,,,,,,,,,,,,82056.0,0.875,,,116.0,0.276,0.0239,,,921.0,1571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.061,,,,,,,2913.0,5462.0,,,,,,,,,,,,11759.0,1.0,,,116.0,0.276,0.0239,,,89.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,US-06011,-122.4386143,39.169245,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.097,,,,,,,645.0,1506.0,,,,,,,,,,,,8609.0,0.9565,,,116.0,0.276,0.0239,,,116.0,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.05,,,,,,,35924.0,72366.0,,,,,,,,,,,,264643.0,0.9685,,,13.0,0.462,0.0234,,,5304.0,10647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,US-06015,-123.719458,41.6908155,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.08,,,,,,,2521.0,5191.0,,,,,,,,,,,,11526.0,0.9899,,,116.0,0.276,0.0239,,,134.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,US-06017,-120.4259625,38.78496,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.054,,,,,,,7302.0,13117.0,,,,,,,,,,,,37682.0,1.0,,,116.0,0.276,0.0239,,,401.0,793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,US-06019,-120.862059,36.74633,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.09,,,,,,,103750.0,241298.0,,,,,,,,,,,,472610.0,0.9548,,,19.0,0.263,0.0254,,,13798.0,30666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,US-06021,-122.1147288,39.591764,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.081,,,,,,,1505.0,3553.0,,,,,,,,,,,,11823.0,1.0,,,116.0,0.276,0.0239,,,204.0,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,US-06023,-123.959972,40.73356,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.056,,,,,,,12055.0,21035.0,,,,,,,,,,,,50631.0,0.998,,,116.0,0.276,0.0239,,,667.0,1223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,US-06025,-115.058652,33.02615,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.267,,,,,,,17504.0,43873.0,,,,,,,,,,,,92165.0,0.9702,,,116.0,0.276,0.0239,,,968.0,1866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,US-06027,-117.7797286,36.626,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.053,,,,,,,1048.0,2049.0,,,,,,,,,,,,5568.0,1.0,,,116.0,0.276,0.0239,,,81.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,US-06029,-118.4426011,35.29441,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.094,,,,,,,68560.0,161466.0,,,,,,,,,,,,386562.0,0.9957,,,44.0,0.159,0.0078,,,10223.0,22863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,US-06031,-119.6135104,36.138775,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.09,,,,,,,10805.0,24914.0,,,,,,,,,,,,55951.0,0.9977,,,116.0,0.276,0.0239,,,1316.0,2955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,US-06033,-122.9624445,39.124455,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.067,,,,,,,6287.0,12211.0,,,,,,,,,,,,30291.0,0.9923,,,116.0,0.276,0.0239,,,382.0,731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,US-06035,-120.2636913,40.446085,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.064,,,,,,,1553.0,3222.0,,,,,,,,,,,,7702.0,0.7711,,,116.0,0.276,0.0239,,,107.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,US-06037,-117.9879672,34.26394,LRS,August,42217.0,2015.0,2015.0,2015/16,0.066,,,,,,,586748.0,1179266.0,,,,,,,,,,,,3844329.0,0.9567,,,137.0,0.482,0.0386,,,108194.0,221368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,US-06039,-119.84174,37.27052,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.092,,,,,,,12137.0,29875.0,,,,,,,,,,,,69306.0,0.9957,,,116.0,0.276,0.0239,,,2778.0,6469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,US-06041,-122.870429,38.068145,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.036,,,,,,,6477.0,10669.0,,,,,,,,,,,,43350.0,0.9862,,,116.0,0.276,0.0239,,,1304.0,2354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,US-06043,-119.6495595,37.543615,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.053,,,,,,,1127.0,2153.0,,,,,,,,,,,,4756.0,1.0,,,116.0,0.276,0.0239,,,32.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,US-06045,-123.5709822,39.380655,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.052,,,,,,,7092.0,13257.0,,,,,,,,,,,,40008.0,0.9923,,,116.0,0.276,0.0239,,,588.0,1253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,US-06047,-120.1246993,37.18687,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.095,,,,,,,25338.0,58614.0,,,,,,,,,,,,136832.0,0.9932,,,11.0,0.182,0.013,,,4020.0,8968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,US-06049,-120.1993372,41.590546,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.072,,,,,,,447.0,958.0,,,,,,,,,,,,3105.0,1.0,,,116.0,0.276,0.0239,,,45.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,US-06051,-118.7402371,38.0878955,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.052,,,,,,,496.0,820.0,,,,,,,,,,,,3619.0,1.0,,,116.0,0.276,0.0239,,,66.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,US-06053,-120.9044897,36.35433,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.059,,,,,,,22336.0,49542.0,,,,,,,,,,,,173262.0,1.0,,,18.0,0.278,0.0547,,,6670.0,14716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,US-06055,-122.5128064,38.509635,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.042,,,,,,,3600.0,7378.0,,,,,,,,,,,,31748.0,0.9871,,,116.0,0.276,0.0239,,,785.0,1638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,US-06057,-120.3163119,39.266135,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.051,,,,,,,4274.0,7752.0,,,,,,,,,,,,24342.0,0.9902,,,116.0,0.276,0.0239,,,149.0,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,US-06059,-117.8002615,33.66707,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.045,,,,,,,124097.0,258800.0,,,,,,,,,,,,874721.0,0.9829,,,30.0,0.4,0.0383,,,28566.0,62017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,US-06061,-120.7858989,39.013999,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.049,,,,,,,9381.0,18156.0,,,,,,,,,,,,62786.0,0.9638,,,116.0,0.276,0.0239,,,693.0,1371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,US-06063,-121.1037321,40.0234855,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.077,,,,,,,1063.0,2017.0,,,,,,,,,,,,5760.0,1.0,,,116.0,0.276,0.0239,,,55.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,US-06065,-115.0250859,33.752845,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.07,,,,,,,130923.0,297717.0,,,,,,,,,,,,806351.0,0.9981,,,85.0,0.176,0.0576,,,16590.0,36458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.06,,,,,,,105471.0,221342.0,,,,,,,,,,,,538226.0,0.9781,,,29.0,0.552,0.0022,,,9320.0,18505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,US-06069,-121.2131455,36.5928495,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.066,,,,,,,2700.0,5982.0,,,,,,,,,,,,18027.0,1.0,,,116.0,0.276,0.0239,,,405.0,919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.065,,,,,,,182115.0,404596.0,,,,,,,,,,,,855222.0,0.9998,,,99.0,0.111,0.0312,,,21075.0,44779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,US-06073,-116.693716,33.019645,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.052,,,,,,,143930.0,292683.0,,,,,,,,,,,,862670.0,0.9655,,,50.0,0.42,0.0109,,,16013.0,32862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.036,,,,,,,34358.0,52477.0,,,,,,,,,,,,224429.0,0.9754,,,10.0,0.8,0.0764,,,4013.0,6429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.082,,,,,,,53544.0,122090.0,,,,,,,,,,,,292843.0,0.9895,,,31.0,0.129,0.0276,,,7136.0,15230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.048,,,,,,,10019.0,18549.0,,,,,,,,,,,,60795.0,0.9717,,,116.0,0.276,0.0239,,,1070.0,2199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.034,,,,,,,16351.0,31960.0,,,,,,,,,,,,154015.0,0.9636,,,116.0,0.276,0.0239,,,3932.0,7650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.049,,,,,,,17045.0,36342.0,,,,,,,,,,,,136237.0,0.9688,,,116.0,0.276,0.0239,,,4272.0,9595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.042,,,,,,,55319.0,110835.0,,,,,,,,,,,,438573.0,0.979,,,16.0,0.5,0.0186,,,10489.0,21340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.061,,,,,,,13875.0,25832.0,,,,,,,,,,,,77626.0,0.9587,,,116.0,0.276,0.0239,,,2389.0,4991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,US-06089,-122.0883555,40.735175,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.071,,,,,,,13122.0,25356.0,,,,,,,,,,,,64872.0,0.969,,,116.0,0.276,0.0239,,,620.0,1015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,US-06091,-120.0617973,39.58418,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.073,,,,,,,162.0,297.0,,,,,,,,,,,,810.0,1.0,,,116.0,0.276,0.0239,,,1.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.076,,,,,,,3277.0,7018.0,,,,,,,,,,,,17201.0,0.9855,,,116.0,0.276,0.0239,,,146.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,US-06095,-121.6688337,38.2894915,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.06,,,,,,,23396.0,44475.0,,,,,,,,,,,,119420.0,0.9694,,,5.0,0.8,0.0182,,,2318.0,4614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.043,,,,,,,20080.0,36122.0,,,,,,,,,,,,124099.0,0.9355,,,116.0,0.276,0.0239,,,3287.0,6730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.085,,,,,,,43765.0,93228.0,,,,,,,,,,,,232570.0,0.9931,,,22.0,0.091,0.0155,,,5334.0,11451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,US-06101,-121.714735,39.02038,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.085,,,,,,,5697.0,13149.0,,,,,,,,,,,,40642.0,0.9901,,,116.0,0.276,0.0239,,,673.0,1412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,US-06103,-122.6595518,40.125305,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.075,,,,,,,4853.0,10675.0,,,,,,,,,,,,27074.0,0.9623,,,116.0,0.276,0.0239,,,415.0,874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,US-06105,-123.5069171,40.672495,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.062,,,,,,,1043.0,1890.0,,,,,,,,,,,,5044.0,1.0,,,116.0,0.276,0.0239,,,34.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,US-06107,-119.0889841,36.266965,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.106,,,,,,,53294.0,124868.0,,,,,,,,,,,,247715.0,0.9829,,,12.0,0.333,0.0293,,,8110.0,18815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,August,42217.0,2015.0,2015.0,2015/16,0.065,,,,,,,3162.0,5635.0,,,,,,,,,,,,14525.0,0.964,,,116.0,0.276,0.0239,,,110.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,US-06111,-119.0838699,34.47326,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.059,,,,,,,37409.0,75621.0,,,,,,,,,,,,228883.0,0.9701,,,13.0,0.385,0.0629,,,6911.0,15459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,US-06113,-121.9008022,38.619495,CalWIN,August,42217.0,2015.0,2015.0,2015/16,0.06,,,,,,,10413.0,20971.0,,,,,,,,,,,,57394.0,0.9263,,,116.0,0.276,0.0239,,,910.0,1802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
