"This data table captures monthly data on unemployment, CalFresh (federal) public assistance households, CalFresh non-assistance households, California Food Assistance Program public assistance households, California Food Assistance Program non-assistance households, the total number of all public assistance households, the total number of all non-public assistance households, CalFresh households, CalFresh persons, CalFresh public assistance persons, CalFresh non-assistance persons, the total number of CalFresh persons, California Food Assistance Program public assistance persons, California Food Assistance Program non-public assistance persons, the total number of California Food Assistance Program persons, CalFresh issuances, State issuances, total number of issuances, Medi-Cal enrollment, timeliness 30 day percentage, timeliness expedited percentage, negative error rate completed cases, negative error rate, active error rate, applications received, online applications received, child only household, and child only persons data. Note, certain cells are blank to meet de-identification guidelines. The data table begins in cell A2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,Unemployment Monthly,Federal Public Assistance Households,Federal Non-Assistance Households,CFAP Public Assistance Households,CFAP Non-Assistance Households,All Public Assistance Households,All Non-Assistance Households,CalFresh Households,CalFresh Persons,Federal Pubic Assistance Persons,Federal Non Assistance Persons,All Federal Persons,CFAP Public Assistance Persons,CFAP Non Assistance Persons,All CFAP Persons,All Public Assistance Persons,All Non-Assistance Persons,Federal Issuances,State Issuances,Total Issuances,Medi-Cal Enrollement ,Timeliness 30 day Percentage,Timeliness Expedited Services Percentage  Monthly,Negative Error Rate on Completed Cases,Negative Error Rate,Active Error Rate,Applications Recevied,Online Applications Received,Child Only Households Monthly,Child Only Persons
Merced,US-06047,-120.1246993,37.18687,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.102,,,,,,,24235.0,57128.0,,,,,,,,,,,,126066.0,0.989,,,,0.0056,,,4004.0,8997.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.082,,,,,,,481.0,1033.0,,,,,,,,,,,,2925.0,1.0,,,,0.0,,,39.0,75.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.072,,,,,,,457.0,778.0,,,,,,,,,,,,3157.0,1.0,,,,0.0,,,65.0,135.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.066,,,,,,,20520.0,45843.0,,,,,,,,,,,,152866.0,1.0,,,,0.0306,,,6457.0,14021.0
Napa,US-06055,-122.5128064,38.509635,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.049,,,,,,,3444.0,7124.0,,,,,,,,,,,,28953.0,0.8817,,,,0.0,,,812.0,1661.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.059,,,,,,,4203.0,7687.0,,,,,,,,,,,,21897.0,1.0,,,,0.0,,,179.0,317.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.052,,,,,,,118925.0,273208.0,,,,,,,,,,,,792309.0,0.985,,,,0.0092,,,29589.0,63741.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.058,,,,,,,9374.0,18731.0,,,,,,,,,,,,57081.0,0.9926,,,,0.0,,,701.0,1403.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.085,,,,,,,969.0,1888.0,,,,,,,,,,,,5232.0,0.9636,,,,0.0,,,44.0,74.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.077,,,,,,,127594.0,296194.0,,,,,,,,,,,,720337.0,0.9941,,,,0.015,,,17234.0,37763.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.067,,,,,,,103843.0,220147.0,,,,,,,,,,,,494770.0,0.9862,,,,0.0,,,10034.0,19608.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.078,,,,,,,2658.0,5905.0,,,,,,,,,,,,16279.0,0.9,,,,0.0,,,422.0,940.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.074,,,,,,,176843.0,399898.0,,,,,,,,,,,,779821.0,0.9999,,,,0.0376,,,21377.0,45473.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.06,,,,,,,138327.0,285499.0,,,,,,,,,,,,758368.0,0.9337,,,,0.0111,,,16840.0,34492.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.04,,,,,,,33173.0,54246.0,,,,,,,,,,,,213141.0,0.9732,,,,0.0912,,,4137.0,6583.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.092,,,,,,,51189.0,119161.0,,,,,,,,,,,,268032.0,0.9777,,,,0.0256,,,7235.0,15312.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.052,,,,,,,9447.0,17677.0,,,,,,,,,,,,55278.0,0.9854,,,,0.0,,,1121.0,2248.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.039,,,,,,,16053.0,32074.0,,,,,,,,,,,,140459.0,0.9696,,,,0.0,,,4006.0,7801.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.056,,,,,,,15956.0,34829.0,,,,,,,,,,,,122397.0,0.8888,,,,0.0,,,4190.0,9348.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.048,,,,,,,55515.0,113741.0,,,,,,,,,,,,396575.0,0.9722,,,,0.0,,,11060.0,22236.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.069,,,,,,,12360.0,23430.0,,,,,,,,,,,,69974.0,0.8305,,,,0.0,,,2312.0,4753.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.082,,,,,,,12892.0,24856.0,,,,,,,,,,,,60869.0,0.9381,,,,0.0,,,701.0,1157.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.078,,,,,,,160.0,298.0,,,,,,,,,,,,770.0,1.0,,,,0.0,,,2.0,*
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.086,,,,,,,3201.0,6911.0,,,,,,,,,,,,16118.0,1.0,,,,0.0,,,148.0,249.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.067,,,,,,,22378.0,43554.0,,,,,,,,,,,,108594.0,0.9319,,,,0.1537,,,2438.0,4800.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.051,,,,,,,19632.0,35567.0,,,,,,,,,,,,113764.0,0.9593,,,,0.0,,,3385.0,6877.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.097,,,,,,,42524.0,91500.0,,,,,,,,,,,,210333.0,0.9849,,,,0.0,,,5549.0,11754.0
Sutter,US-06101,-121.714735,39.02038,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.102,,,,,,,5567.0,12903.0,,,,,,,,,,,,37415.0,0.9879,,,,0.0,,,668.0,1426.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.079,,,,,,,4848.0,10646.0,,,,,,,,,,,,25452.0,0.9703,,,,0.0,,,461.0,952.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.078,,,,,,,1032.0,1880.0,,,,,,,,,,,,4546.0,0.9683,,,,0.0,,,38.0,58.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.118,,,,,,,51603.0,133499.0,,,,,,,,,,,,230932.0,0.9825,,,,0.0617,,,8261.0,19003.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.075,,,,,,,2981.0,5465.0,,,,,,,,,,,,13474.0,0.9648,,,,0.0,,,115.0,185.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.063,,,,,,,35715.0,78777.0,,,,,,,,,,,,204026.0,0.9768,,,,0.0,,,6906.0,15300.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,October,41913.0,2014.0,2015.0,2014/15,0.066,,,,,,,9243.0,18981.0,,,,,,,,,,,,50933.0,0.8986,,,,0.0,,,941.0,1861.0
Yuba,US-06115,-121.499162,39.278915,C-IV,October,41913.0,2014.0,2015.0,2014/15,0.095,,,,,,,6011.0,13409.0,,,,,,,,,,,,28357.0,1.0,,,,0.0,,,542.0,1090.0
Statewide,,,,,November,41944.0,2014.0,2015.0,2014/15,0.069,309243.0,1757549.0,2114.0,17138.0,311357.0,1774687.0,2086044.0,4426326.0,778129.0,3603435.0,4381564.0,6784.0,37978.0,44762.0,784913.0,3641413.0,635669002.99,5991688.0,641660690.99,12011742.0,0.9679,,89.0,0.326,0.0976,,,337739.0,702321.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.053,,,,,,,62544.0,123357.0,,,,,,,,,,,,399493.0,0.8628,,2.0,1.0,0.1084,,,9483.0,17995.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.075,,,,,,,106.0,173.0,,,,,,,,,,,,370.0,1.0,,9.0,0.222,0.0097,,,0.0,0.0
Amador,US-06005,-120.238969,38.46328,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.074,,,,,,,1710.0,3293.0,,,,,,,,,,,,7390.0,1.0,,9.0,0.222,0.0097,,,60.0,106.0
Butte,US-06007,-121.5660076,39.723785,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.077,,,,,,,15913.0,31182.0,,,,,,,,,,,,76471.0,0.9311,,9.0,0.222,0.0097,,,988.0,1668.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.071,,,,,,,2871.0,5405.0,,,,,,,,,,,,11093.0,1.0,,9.0,0.222,0.0097,,,99.0,176.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.166,,,,,,,657.0,1504.0,,,,,,,,,,,,8036.0,0.7209,,9.0,0.222,0.0097,,,140.0,321.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.056,,,,,,,35636.0,72574.0,,,,,,,,,,,,244743.0,0.9486,,2.0,0.5,0.0328,,,5607.0,11157.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.092,,,,,,,2515.0,5189.0,,,,,,,,,,,,10987.0,1.0,,9.0,0.222,0.0097,,,149.0,256.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.063,,,,,,,7012.0,12770.0,,,,,,,,,,,,34468.0,1.0,,9.0,0.222,0.0097,,,437.0,871.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.11,,,,,,,94840.0,224037.0,,,,,,,,,,,,439206.0,0.9738,,3.0,0.333,0.0133,,,14363.0,31398.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.09,,,,,,,1476.0,3551.0,,,,,,,,,,,,11076.0,1.0,,9.0,0.222,0.0097,,,221.0,494.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.061,,,,,,,11221.0,19926.0,,,,,,,,,,,,46015.0,0.9925,,9.0,0.222,0.0097,,,697.0,1297.0
Imperial,US-06025,-115.058652,33.02615,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.228,,,,,,,16660.0,42071.0,,,,,,,,,,,,84011.0,0.9295,,9.0,0.222,0.0097,,,1082.0,2177.0
Inyo,US-06027,-117.7797286,36.626,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.063,,,,,,,1020.0,2041.0,,,,,,,,,,,,5316.0,0.98,,9.0,0.222,0.0097,,,101.0,216.0
Kern,US-06029,-118.4426011,35.29441,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.092,,,,,,,62201.0,148351.0,,,,,,,,,,,,349789.0,0.9964,,7.0,0.143,0.0047,,,10413.0,23468.0
Kings,US-06031,-119.6135104,36.138775,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.111,,,,,,,10126.0,23622.0,,,,,,,,,,,,51684.0,0.9958,,9.0,0.222,0.0097,,,1379.0,3040.0
Lake,US-06033,-122.9624445,39.124455,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.086,,,,,,,5736.0,11343.0,,,,,,,,,,,,27590.0,0.9545,,9.0,0.222,0.0097,,,388.0,757.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.08,,,,,,,1550.0,3176.0,,,,,,,,,,,,7059.0,0.8871,,9.0,0.222,0.0097,,,99.0,177.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,November,41944.0,2014.0,2015.0,2014/15,0.077,,,,,,,582786.0,1183443.0,,,,,,,,,,,,3662750.0,0.9594,,13.0,0.462,0.1139,,,114294.0,232778.0
Madera,US-06039,-119.84174,37.27052,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.115,,,,,,,11510.0,28658.0,,,,,,,,,,,,65477.0,0.9887,,9.0,0.222,0.0097,,,2894.0,6690.0
Marin,US-06041,-122.870429,38.068145,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.04,,,,,,,6316.0,10466.0,,,,,,,,,,,,39739.0,0.9614,,9.0,0.222,0.0097,,,1306.0,2341.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.085,,,,,,,1052.0,2022.0,,,,,,,,,,,,4512.0,0.8364,,9.0,0.222,0.0097,,,30.0,*
Mendocino,US-06045,-123.5709822,39.380655,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.066,,,,,,,7277.0,13459.0,,,,,,,,,,,,36747.0,0.9909,,9.0,0.222,0.0097,,,630.0,1322.0
Merced,US-06047,-120.1246993,37.18687,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.119,,,,,,,24186.0,56912.0,,,,,,,,,,,,127394.0,0.9933,,1.0,0.0,0.0195,,,4017.0,8984.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.095,,,,,,,466.0,1012.0,,,,,,,,,,,,2941.0,1.0,,9.0,0.222,0.0097,,,34.0,63.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.072,,,,,,,481.0,812.0,,,,,,,,,,,,3232.0,1.0,,9.0,0.222,0.0097,,,73.0,149.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.084,,,,,,,20668.0,46178.0,,,,,,,,,,,,154801.0,0.9994,,1.0,0.0,0.0772,,,6951.0,15136.0
Napa,US-06055,-122.5128064,38.509635,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.057,,,,,,,3478.0,7207.0,,,,,,,,,,,,29208.0,0.9399,,9.0,0.222,0.0097,,,818.0,1686.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.06,,,,,,,4150.0,7568.0,,,,,,,,,,,,21883.0,0.9948,,9.0,0.222,0.0097,,,179.0,321.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.051,,,,,,,119060.0,252447.0,,,,,,,,,,,,800667.0,0.9853,,4.0,0.25,0.0128,,,29489.0,63553.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.057,,,,,,,9244.0,18515.0,,,,,,,,,,,,57827.0,0.9934,,9.0,0.222,0.0097,,,716.0,1424.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.104,,,,,,,1011.0,1962.0,,,,,,,,,,,,5289.0,1.0,,9.0,0.222,0.0097,,,41.0,67.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.074,,,,,,,127600.0,295843.0,,,,,,,,,,,,730640.0,0.9965,,9.0,0.111,0.0331,,,17175.0,37638.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.066,,,,,,,103679.0,220704.0,,,,,,,,,,,,500449.0,0.99,,4.0,0.5,0.0,,,10032.0,19614.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.083,,,,,,,2641.0,5894.0,,,,,,,,,,,,16461.0,0.9925,,9.0,0.222,0.0097,,,419.0,936.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.071,,,,,,,176992.0,399799.0,,,,,,,,,,,,779455.0,0.9999,,12.0,0.083,0.0923,,,21406.0,45497.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.058,,,,,,,138365.0,287133.0,,,,,,,,,,,,769082.0,0.9284,,7.0,0.429,0.0059,,,16850.0,34479.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.04,,,,,,,33260.0,51372.0,,,,,,,,,,,,214187.0,0.9682,,2.0,1.0,0.0886,,,4174.0,6658.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.098,,,,,,,51384.0,119485.0,,,,,,,,,,,,270170.0,0.9776,,5.0,0.0,0.0122,,,7277.0,15379.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.053,,,,,,,9489.0,17811.0,,,,,,,,,,,,55626.0,0.9769,,9.0,0.222,0.0097,,,1134.0,2292.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.039,,,,,,,15986.0,31989.0,,,,,,,,,,,,142020.0,0.9811,,9.0,0.222,0.0097,,,4069.0,7891.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.058,,,,,,,15813.0,34630.0,,,,,,,,,,,,123530.0,0.9083,,9.0,0.222,0.0097,,,4410.0,9795.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.047,,,,,,,55168.0,112863.0,,,,,,,,,,,,398265.0,0.9771,,2.0,0.5,0.0043,,,10985.0,22096.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.08,,,,,,,12564.0,23841.0,,,,,,,,,,,,70685.0,0.8839,,9.0,0.222,0.0097,,,2427.0,5001.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.085,,,,,,,12778.0,24691.0,,,,,,,,,,,,61126.0,0.9392,,9.0,0.222,0.0097,,,697.0,1152.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.085,,,,,,,169.0,315.0,,,,,,,,,,,,768.0,1.0,,9.0,0.222,0.0097,,,2.0,*
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.1,,,,,,,3191.0,6899.0,,,,,,,,,,,,16238.0,1.0,,9.0,0.222,0.0097,,,143.0,240.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.068,,,,,,,22256.0,43426.0,,,,,,,,,,,,109433.0,0.9028,,1.0,1.0,0.0743,,,2435.0,4779.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.052,,,,,,,19582.0,35540.0,,,,,,,,,,,,114888.0,0.9707,,9.0,0.222,0.0097,,,3400.0,6911.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.102,,,,,,,42453.0,91333.0,,,,,,,,,,,,212895.0,0.9738,,2.0,0.5,0.0,,,5491.0,11672.0
Sutter,US-06101,-121.714735,39.02038,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.116,,,,,,,5585.0,12911.0,,,,,,,,,,,,37474.0,1.0,,9.0,0.222,0.0097,,,691.0,1490.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.084,,,,,,,4780.0,10477.0,,,,,,,,,,,,25606.0,0.985,,9.0,0.222,0.0097,,,450.0,921.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.086,,,,,,,1012.0,1861.0,,,,,,,,,,,,4596.0,1.0,,9.0,0.222,0.0097,,,41.0,63.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.121,,,,,,,51571.0,122071.0,,,,,,,,,,,,231269.0,0.9889,,1.0,1.0,0.0361,,,8283.0,19038.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.076,,,,,,,2963.0,5456.0,,,,,,,,,,,,13493.0,0.8768,,9.0,0.222,0.0097,,,117.0,188.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.063,,,,,,,35910.0,73209.0,,,,,,,,,,,,205926.0,0.9825,,2.0,1.0,0.0109,,,6951.0,15453.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,November,41944.0,2014.0,2015.0,2014/15,0.071,,,,,,,9401.0,19278.0,,,,,,,,,,,,51620.0,0.883,,9.0,0.222,0.0097,,,967.0,1914.0
Yuba,US-06115,-121.499162,39.278915,C-IV,November,41944.0,2014.0,2015.0,2014/15,0.1,,,,,,,5973.0,13269.0,,,,,,,,,,,,28576.0,1.0,,9.0,0.222,0.0097,,,535.0,1082.0
Statewide,,,,,December,41974.0,2014.0,2015.0,2014/15,0.066,299402.0,1785111.0,2020.0,17586.0,301422.0,1802697.0,2104119.0,4452530.0,755045.0,3652172.0,4407217.0,6560.0,38753.0,45313.0,761605.0,3690925.0,641606817.81,6060505.0,647667322.81,12172169.0,0.967,,124.0,0.323,0.072,,,339226.0,705941.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,December,41974.0,2014.0,2015.0,2014/15,0.049,,,,,,,62620.0,123326.0,,,,,,,,,,,,408267.0,0.8633,,2.0,1.0,0.1124,,,9444.0,17967.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.058,,,,,,,107.0,175.0,,,,,,,,,,,,374.0,1.0,,10.0,0.2,0.0187,,,0.0,0.0
Amador,US-06005,-120.238969,38.46328,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.074,,,,,,,1721.0,3254.0,,,,,,,,,,,,7485.0,0.9663,,10.0,0.2,0.0187,,,59.0,107.0
Butte,US-06007,-121.5660076,39.723785,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.077,,,,,,,15967.0,31187.0,,,,,,,,,,,,77060.0,0.9336,,10.0,0.2,0.0187,,,981.0,1660.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.069,,,,,,,2878.0,5399.0,,,,,,,,,,,,11248.0,0.9912,,10.0,0.2,0.0187,,,107.0,188.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.209,,,,,,,665.0,1537.0,,,,,,,,,,,,8136.0,0.8077,,10.0,0.2,0.0187,,,153.0,355.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,December,41974.0,2014.0,2015.0,2014/15,0.052,,,,,,,35724.0,72653.0,,,,,,,,,,,,249757.0,0.9359,,3.0,0.667,0.0425,,,5532.0,11060.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.092,,,,,,,2503.0,5187.0,,,,,,,,,,,,11082.0,1.0,,10.0,0.2,0.0187,,,146.0,249.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.061,,,,,,,7134.0,12931.0,,,,,,,,,,,,35200.0,0.9978,,10.0,0.2,0.0187,,,437.0,872.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,December,41974.0,2014.0,2015.0,2014/15,0.111,,,,,,,95923.0,226268.0,,,,,,,,,,,,445313.0,0.9443,,4.0,0.25,0.0085,,,14545.0,31811.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.102,,,,,,,1508.0,3638.0,,,,,,,,,,,,11243.0,1.0,,10.0,0.2,0.0187,,,233.0,522.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.059,,,,,,,11353.0,20120.0,,,,,,,,,,,,46942.0,0.9915,,10.0,0.2,0.0187,,,693.0,1282.0
Imperial,US-06025,-115.058652,33.02615,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.231,,,,,,,16786.0,42319.0,,,,,,,,,,,,84827.0,0.9493,,10.0,0.2,0.0187,,,1096.0,2185.0
Inyo,US-06027,-117.7797286,36.626,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.063,,,,,,,1034.0,2045.0,,,,,,,,,,,,5422.0,1.0,,10.0,0.2,0.0187,,,104.0,219.0
Kern,US-06029,-118.4426011,35.29441,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.099,,,,,,,62861.0,148806.0,,,,,,,,,,,,353229.0,0.9922,,9.0,0.222,0.0072,,,10493.0,23619.0
Kings,US-06031,-119.6135104,36.138775,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.114,,,,,,,10259.0,23998.0,,,,,,,,,,,,52354.0,0.9929,,10.0,0.2,0.0187,,,1389.0,3074.0
Lake,US-06033,-122.9624445,39.124455,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.088,,,,,,,5826.0,11521.0,,,,,,,,,,,,28134.0,0.9599,,10.0,0.2,0.0187,,,392.0,771.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.083,,,,,,,1546.0,3155.0,,,,,,,,,,,,7171.0,0.8353,,10.0,0.2,0.0187,,,106.0,186.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,December,41974.0,2014.0,2015.0,2014/15,0.072,,,,,,,587417.0,1189576.0,,,,,,,,,,,,3671212.0,0.9584,,18.0,0.444,0.0808,,,113694.0,231637.0
Madera,US-06039,-119.84174,37.27052,C-IV,December,41974.0,2014.0,2015.0,2014/15,0.118,,,,,,,11747.0,29106.0,,,,,,,,,,,,66426.0,0.974,,10.0,0.2,0.0187,,,2953.0,6793.0
