,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
Santa Barbara,,715.0,1150.0,1865.0,1133.0,810.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,22.0,732.0,111.0,2654.0,468.0,217.0,2.0,5.0,573.0,9.0,4.0,224.0,10.0,234.0,3122.0,3062.0,15468.0,1.0,170.0,52.0,35.0,16.0,8.0,460.0,2662.0,-831.0,2561.0,932.0,586.0,7.0,339.0,3493.0,3366.0,101.0,26.0,39.0,3454.0,158.0,154.0,3.0,1.0,181.0,3.0,3.0,158.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,195.0,187.0,8.0,0.0
Santa Clara,27.0,1585.0,3133.0,4718.0,3101.0,1851.0,0.0,0.0,10.0,621.0,0.0,0.0,0.0,619.0,1617.0,,8947.0,1248.0,543.0,6.0,3.0,1259.0,20.0,20.0,552.0,97.0,599.0,10195.0,10052.0,49774.0,22.0,411.0,143.0,261.0,9.0,0.0,1127.0,9068.0,,9129.0,2086.0,1299.0,60.0,727.0,11215.0,10764.0,243.0,208.0,1907.0,9308.0,659.0,655.0,4.0,0.0,578.0,10.0,12.0,659.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,624.0,600.0,24.0,0.0
Santa Cruz,,405.0,889.0,1294.0,849.0,555.0,0.0,0.0,45.0,228.0,0.0,0.0,2.0,19.0,445.0,,1229.0,208.0,131.0,2.0,1.0,412.0,4.0,5.0,134.0,2.0,72.0,1437.0,1398.0,8662.0,2.0,59.0,39.0,7.0,0.0,0.0,208.0,1229.0,,2076.0,583.0,421.0,6.0,156.0,2659.0,2555.0,104.0,0.0,583.0,2076.0,94.0,91.0,3.0,0.0,86.0,3.0,2.0,94.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,95.0,91.0,4.0,18.0
Shasta,,253.0,739.0,992.0,674.0,488.0,7.0,28.0,21.0,120.0,0.0,11.0,24.0,21.0,318.0,,1691.0,328.0,60.0,0.0,0.0,423.0,5.0,0.0,60.0,199.0,69.0,2019.0,2005.0,11109.0,0.0,78.0,14.0,0.0,7.0,0.0,354.0,1665.0,,2722.0,891.0,428.0,228.0,235.0,3613.0,3548.0,59.0,6.0,692.0,2921.0,103.0,90.0,1.0,0.0,192.0,3.0,0.0,91.0,12.0,0.0,0.0,85.0,1.0,0.0,12.0,3.0,281.0,195.0,86.0,4.0
Sierra,,1.0,12.0,13.0,12.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,23.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,28.0,28.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,,30.0,5.0,5.0,0.0,0.0,35.0,35.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Siskiyou,,138.0,234.0,372.0,211.0,151.0,7.0,13.0,8.0,33.0,0.0,4.0,4.0,15.0,161.0,,450.0,131.0,42.0,0.0,0.0,109.0,0.0,0.0,42.0,44.0,45.0,581.0,577.0,3595.0,0.0,14.0,3.0,2.0,0.0,1.0,80.0,501.0,,1016.0,214.0,109.0,31.0,74.0,1230.0,1220.0,9.0,1.0,188.0,1042.0,25.0,21.0,0.0,0.0,62.0,0.0,0.0,21.0,4.0,0.0,0.0,23.0,0.0,0.0,4.0,2.0,85.0,62.0,23.0,5.0
Solano,,227.0,995.0,1222.0,918.0,713.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,37.0,304.0,,2409.0,409.0,231.0,0.0,0.0,481.0,0.0,1.0,231.0,9.0,169.0,2818.0,2800.0,13682.0,0.0,34.0,16.0,20.0,7.0,2.0,488.0,2330.0,,2168.0,678.0,482.0,6.0,190.0,2846.0,2812.0,12.0,22.0,603.0,2243.0,120.0,119.0,0.0,1.0,101.0,2.0,2.0,120.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,118.0,105.0,13.0,0.0
Sonoma,,103.0,963.0,1066.0,892.0,811.0,0.0,0.0,2.0,67.0,0.0,0.0,0.0,12.0,174.0,,1653.0,221.0,129.0,0.0,1.0,677.0,2.0,2.0,130.0,6.0,85.0,1874.0,1872.0,10837.0,0.0,13.0,2.0,9.0,0.0,0.0,207.0,1667.0,,2475.0,860.0,681.0,4.0,175.0,3335.0,3320.0,11.0,4.0,671.0,2664.0,91.0,91.0,0.0,0.0,98.0,1.0,0.0,91.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,101.0,99.0,2.0,0.0
Stanislaus,,585.0,1270.0,1855.0,1160.0,732.0,10.0,9.0,46.0,351.0,0.0,0.0,5.0,26.0,695.0,,5460.0,469.0,283.0,0.0,0.0,448.0,1.0,0.0,283.0,8.0,178.0,5929.0,5887.0,33860.0,0.0,12.0,39.0,22.0,10.0,3.0,373.0,5556.0,,5960.0,737.0,449.0,8.0,280.0,6697.0,6583.0,85.0,29.0,516.0,6181.0,387.0,386.0,1.0,0.0,486.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,486.0,0.0,0.0
Sutter,,100.0,340.0,440.0,310.0,201.0,0.0,26.0,17.0,63.0,1.0,7.0,14.0,15.0,130.0,,496.0,148.0,35.0,0.0,0.0,162.0,4.0,0.0,35.0,72.0,41.0,644.0,636.0,4349.0,0.0,19.0,4.0,1.0,4.0,4.0,122.0,522.0,,1137.0,316.0,166.0,72.0,78.0,1453.0,1439.0,14.0,0.0,255.0,1198.0,44.0,36.0,0.0,0.0,115.0,1.0,0.0,36.0,8.0,0.0,0.0,52.0,0.0,0.0,8.0,0.0,168.0,116.0,52.0,4.0
Tehama,-2.0,144.0,279.0,423.0,241.0,137.0,2.0,35.0,19.0,72.0,3.0,9.0,4.0,9.0,182.0,,625.0,111.0,21.0,0.0,0.0,113.0,2.0,1.0,21.0,61.0,29.0,736.0,732.0,4421.0,0.0,19.0,3.0,3.0,4.0,1.0,144.0,592.0,,1058.0,281.0,116.0,84.0,81.0,1339.0,1321.0,15.0,3.0,229.0,1110.0,51.0,45.0,0.0,0.0,85.0,1.0,1.0,45.0,6.0,0.0,0.0,26.0,0.0,0.0,6.0,4.0,113.0,87.0,26.0,4.0
Trinity,,30.0,57.0,87.0,46.0,28.0,1.0,4.0,3.0,12.0,0.0,8.0,2.0,1.0,41.0,,95.0,27.0,3.0,0.0,0.0,25.0,0.0,0.0,3.0,14.0,10.0,122.0,122.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,95.0,,305.0,51.0,25.0,9.0,17.0,356.0,356.0,0.0,0.0,49.0,307.0,4.0,4.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,22.0,17.0,5.0,2.0
Tulare,,2139.0,2363.0,4502.0,2391.0,1717.0,0.0,0.0,4.0,432.0,0.0,0.0,0.0,238.0,2111.0,,7815.0,808.0,514.0,6.0,1.0,1143.0,36.0,17.0,521.0,0.0,287.0,8623.0,8508.0,50591.0,74.0,434.0,114.0,57.0,141.0,1.0,779.0,7844.0,,8132.0,1607.0,1196.0,0.0,411.0,9739.0,9485.0,207.0,47.0,1140.0,8599.0,562.0,559.0,1.0,2.0,463.0,8.0,11.0,562.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,512.0,482.0,30.0,0.0
Tuolumne,,69.0,171.0,240.0,155.0,102.0,3.0,4.0,9.0,37.0,0.0,6.0,4.0,3.0,85.0,,288.0,71.0,14.0,0.0,0.0,88.0,0.0,0.0,14.0,38.0,19.0,359.0,359.0,2189.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,285.0,,462.0,152.0,88.0,23.0,41.0,614.0,614.0,0.0,0.0,142.0,472.0,14.0,14.0,0.0,0.0,32.0,0.0,0.0,14.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,60.0,32.0,28.0,1.0
Ventura,,500.0,1656.0,2156.0,1443.0,1104.0,4.0,1.0,33.0,260.0,2.0,1.0,5.0,41.0,713.0,,3958.0,357.0,193.0,5.0,0.0,898.0,8.0,0.0,198.0,59.0,100.0,4315.0,4290.0,23269.0,2.0,4.0,24.0,7.0,22.0,1.0,376.0,3939.0,,4360.0,1053.0,906.0,16.0,131.0,5413.0,5300.0,80.0,33.0,889.0,4524.0,248.0,238.0,6.0,0.0,120.0,1.0,0.0,244.0,4.0,0.0,0.0,31.0,0.0,0.0,4.0,0.0,152.0,121.0,31.0,0.0
Yolo,,107.0,346.0,453.0,357.0,331.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,96.0,,1230.0,240.0,108.0,0.0,0.0,220.0,0.0,3.0,108.0,9.0,123.0,1470.0,1434.0,7953.0,3.0,82.0,35.0,20.0,28.0,1.0,234.0,1236.0,,1406.0,416.0,223.0,7.0,186.0,1822.0,1781.0,22.0,19.0,330.0,1492.0,80.0,79.0,1.0,0.0,98.0,1.0,1.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,100.0,1.0,0.0
Yuba,-1.0,68.0,399.0,467.0,369.0,225.0,1.0,0.0,17.0,93.0,1.0,0.0,11.0,23.0,98.0,,984.0,152.0,54.0,1.0,0.0,168.0,0.0,2.0,55.0,70.0,27.0,1136.0,1086.0,6968.0,5.0,162.0,50.0,2.0,0.0,0.0,163.0,973.0,,1314.0,307.0,170.0,61.0,76.0,1621.0,1530.0,81.0,10.0,257.0,1364.0,53.0,49.0,2.0,0.0,107.0,6.0,1.0,51.0,2.0,0.0,0.0,46.0,0.0,0.0,2.0,2.0,160.0,114.0,46.0,6.0
,a/  County not reporting data:  San Mateo.,,,,,,,,,,a/  County not reporting data:  San Mateo.,,,,,,,,,,,a/  County not reporting data:  San Mateo.,,,,,,,,a/  County not reporting data:  San Mateo.,,,,,,,,,,,a/  County not reporting data:  San Mateo.,,,,,,,,,,a/  County not reporting data:  San Mateo.,,,,,,,,,,a/  County not reporting data:  San Mateo.,,,,,,,,,
,"b/  Counties now reporting data:  El Dorado, Merced, and San Benito.",,,,,,,,,,"b/  Counties now reporting data:  El Dorado, Merced, and San Benito.",,,,,,,,,,,"b/  Counties now reporting data:  El Dorado, Merced, and San Benito.",,,,,,,,"b/  Counties now reporting data:  El Dorado, Merced, and San Benito.",,,,,,,,,,,"b/  Counties now reporting data:  El Dorado, Merced, and San Benito.",,,,,,,,,,"b/  Counties now reporting data:  El Dorado, Merced, and San Benito.",,,,,,,,,,"b/  Counties now reporting data:  El Dorado, Merced, and San Benito.",,,,,,,,,
,"c/  Counties reporting revised data:  Lake, Nevada, Placer, San Diego, San Joaquin, and San Luis Obispo.",,,,,,,,,,"c/  Counties reporting revised data:  Lake, Nevada, Placer, San Diego, San Joaquin, and San Luis Obispo.",,,,,,,,,,,"c/  Counties reporting revised data:  Lake, Nevada, Placer, San Diego, San Joaquin, and San Luis Obispo.",,,,,,,,"c/  Counties reporting revised data:  Lake, Nevada, Placer, San Diego, San Joaquin, and San Luis Obispo.",,,,,,,,,,,"c/  Counties reporting revised data:  Lake, Nevada, Placer, San Diego, San Joaquin, and San Luis Obispo.",,,,,,,,,,"c/  Counties reporting revised data:  Lake, Nevada, Placer, San Diego, San Joaquin, and San Luis Obispo.",,,,,,,,,,"c/  Counties reporting revised data:  Lake, Nevada, Placer, San Diego, San Joaquin, and San Luis Obispo.",,,,,,,,,
