,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
Plumas,54.0,54.0,0.0,106.0,160.0,118.0,43.0,0.0,1.0,0.0,69.0,0.0,0.0,0.0,6.0,42.0,97.0,890.0,97.0,890.0,0.0,0.0,6.0,109.0,3.0,0.0,0.0,40.0,0.0,0.0,3.0,40.0,-4.0,4.0,1.0,5.0,0.0,9.0,6.0,51.0,103.0,999.0,103.0,998.0,2010.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,81.0,96.0,918.0,16.0,91.0,16.0,0.0,0.0,89.0,0.0,0.0,16.0,89.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Riverside,3228.0,3271.0,-43.0,10178.0,13406.0,10426.0,5559.0,15.0,14.0,10.0,4498.0,0.0,11.0,0.0,359.0,2980.0,16962.0,106993.0,16962.0,106994.0,0.0,-1.0,733.0,9454.0,372.0,3.0,0.0,5127.0,45.0,12.0,375.0,5184.0,-229.0,229.0,29.0,165.0,119.0,1006.0,439.0,2870.0,17695.0,116447.0,17571.0,115257.0,301630.0,103.0,1111.0,115.0,955.0,273.0,25.0,9.0,235.0,882.0,9229.0,16813.0,107218.0,1960.0,9067.0,1930.0,11.0,0.0,8839.0,75.0,16.0,1941.0,8930.0,18.0,0.0,1.0,133.0,3.0,1.0,19.0,137.0,0.0,0.0,
Sacramento,2314.0,2669.0,-355.0,6519.0,8833.0,6700.0,4340.0,7.0,73.0,0.0,2227.0,0.0,99.0,0.0,133.0,2133.0,15590.0,81187.0,15810.0,80782.0,-220.0,405.0,999.0,7853.0,489.0,22.0,1.0,3759.0,36.0,33.0,512.0,3828.0,-231.0,231.0,28.0,166.0,40.0,174.0,650.0,3454.0,16589.0,89040.0,16139.0,87397.0,221311.0,153.0,2175.0,438.0,1023.0,838.0,7.0,12.0,620.0,996.0,7634.0,15593.0,81406.0,992.0,3647.0,939.0,29.0,0.0,3367.0,59.0,15.0,968.0,3441.0,24.0,0.0,0.0,201.0,5.0,0.0,24.0,206.0,0.0,0.0,
San Benito,47.0,49.0,-2.0,190.0,237.0,170.0,81.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,18.0,67.0,280.0,2219.0,280.0,2218.0,0.0,1.0,14.0,202.0,2.0,1.0,0.0,78.0,0.0,0.0,3.0,78.0,2.0,-2.0,1.0,6.0,1.0,18.0,7.0,102.0,294.0,2421.0,289.0,2402.0,5892.0,2.0,22.0,5.0,17.0,2.0,0.0,0.0,2.0,17.0,239.0,277.0,2182.0,45.0,224.0,43.0,1.0,0.0,217.0,2.0,0.0,44.0,219.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,
San Bernardino,3508.0,3541.0,-33.0,11660.0,15168.0,12070.0,7746.0,1.0,3.0,7.0,4064.0,0.0,3.0,0.0,253.0,3098.0,26463.0,146836.0,26465.0,146841.0,-2.0,-5.0,1380.0,11432.0,383.0,7.0,0.0,7293.0,47.0,16.0,390.0,7356.0,110.0,-110.0,70.0,170.0,89.0,750.0,721.0,3266.0,27843.0,158268.0,27642.0,156914.0,408686.0,105.0,1307.0,194.0,1002.0,424.0,49.0,7.0,352.0,1385.0,11135.0,26458.0,147133.0,2660.0,12412.0,2616.0,22.0,1.0,12207.0,72.0,20.0,2639.0,12299.0,21.0,0.0,0.0,113.0,0.0,0.0,21.0,113.0,0.0,0.0,
San Diego  a/,7034.0,7119.0,-85.0,10495.0,17529.0,10935.0,6883.0,10.0,74.0,12.0,3842.0,0.0,265.0,0.0,198.0,6594.0,15014.0,119036.0,14999.0,118394.0,15.0,642.0,771.0,10597.0,315.0,7.0,2.0,6385.0,121.0,53.0,324.0,6559.0,-77.0,77.0,22.0,149.0,12.0,212.0,490.0,3600.0,15785.0,129633.0,15460.0,127096.0,296373.0,267.0,2483.0,316.0,1756.0,990.0,29.0,9.0,781.0,863.0,9673.0,14922.0,119960.0,1097.0,6215.0,1050.0,19.0,0.0,5580.0,87.0,26.0,1069.0,5693.0,26.0,2.0,0.0,505.0,14.0,3.0,28.0,522.0,0.0,0.0,
San Francisco,2667.0,1653.0,1014.0,1527.0,4194.0,2551.0,1699.0,9.0,69.0,1.0,738.0,0.0,115.0,0.0,113.0,1643.0,2390.0,29109.0,2262.0,28806.0,128.0,303.0,166.0,2508.0,72.0,5.0,2.0,1511.0,42.0,67.0,79.0,1620.0,-64.0,64.0,0.0,0.0,0.0,0.0,151.0,824.0,2556.0,31617.0,2405.0,30018.0,51771.0,72.0,1199.0,138.0,796.0,1149.0,48.0,13.0,803.0,154.0,2182.0,2402.0,29435.0,200.0,1037.0,178.0,12.0,1.0,950.0,43.0,22.0,191.0,1015.0,8.0,1.0,0.0,18.0,4.0,0.0,9.0,22.0,0.0,0.0,
San Joaquin,1146.0,1186.0,-40.0,3050.0,4196.0,2949.0,1724.0,2.0,9.0,2.0,1091.0,0.0,3.0,0.0,132.0,1247.0,8060.0,42473.0,8060.0,42474.0,0.0,-1.0,192.0,3144.0,151.0,2.0,0.0,1541.0,24.0,6.0,153.0,1571.0,-176.0,176.0,23.0,124.0,46.0,364.0,146.0,909.0,8252.0,45617.0,8180.0,45023.0,121411.0,51.0,582.0,70.0,465.0,175.0,12.0,2.0,129.0,368.0,3116.0,7884.0,42501.0,873.0,3623.0,857.0,9.0,0.0,3524.0,43.0,9.0,866.0,3576.0,7.0,0.0,0.0,44.0,3.0,0.0,7.0,47.0,0.0,0.0,
San Luis Obispo,597.0,597.0,0.0,728.0,1325.0,794.0,440.0,1.0,18.0,0.0,236.0,0.0,15.0,0.0,118.0,531.0,984.0,8311.0,984.0,8311.0,0.0,0.0,46.0,753.0,28.0,0.0,0.0,409.0,3.0,0.0,28.0,412.0,-24.0,24.0,2.0,14.0,12.0,95.0,28.0,208.0,1030.0,9064.0,1024.0,9014.0,18611.0,0.0,57.0,6.0,42.0,7.0,2.0,0.0,8.0,45.0,637.0,985.0,8427.0,73.0,401.0,72.0,0.0,0.0,360.0,1.0,0.0,72.0,361.0,1.0,0.0,0.0,40.0,0.0,0.0,1.0,40.0,0.0,0.0,
San Mateo,5549.0,5549.0,0.0,1367.0,6916.0,1303.0,692.0,2.0,22.0,2.0,518.0,0.0,50.0,0.0,91.0,5613.0,1024.0,13671.0,1035.0,13760.0,-11.0,-89.0,55.0,1467.0,19.0,0.0,0.0,633.0,28.0,12.0,19.0,673.0,-13.0,13.0,15.0,16.0,0.0,183.0,34.0,582.0,1079.0,15138.0,1045.0,14504.0,31023.0,51.0,597.0,31.0,454.0,227.0,7.0,3.0,180.0,56.0,1275.0,1023.0,13863.0,70.0,640.0,68.0,1.0,0.0,599.0,13.0,8.0,69.0,620.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,20.0,0.0,0.0,
Santa Barbara,1012.0,1019.0,-7.0,1664.0,2676.0,1540.0,1066.0,6.0,39.0,0.0,418.0,0.0,44.0,0.0,56.0,1136.0,2028.0,13603.0,2083.0,13592.0,-55.0,11.0,175.0,1529.0,80.0,1.0,0.0,973.0,8.0,4.0,81.0,985.0,4.0,-4.0,6.0,19.0,0.0,0.0,84.0,529.0,2203.0,15132.0,2187.0,14971.0,36613.0,16.0,128.0,14.0,119.0,2.0,50.0,2.0,42.0,116.0,1126.0,2087.0,14006.0,205.0,887.0,201.0,0.0,1.0,831.0,4.0,6.0,202.0,841.0,3.0,0.0,0.0,46.0,0.0,0.0,3.0,46.0,0.0,0.0,
Santa Clara,2842.0,2924.0,-82.0,3068.0,5910.0,3124.0,1955.0,1.0,34.0,4.0,777.0,0.0,31.0,0.0,388.0,2786.0,5044.0,46578.0,5170.0,46258.0,-126.0,320.0,307.0,3871.0,140.0,0.0,0.0,1720.0,35.0,60.0,140.0,1815.0,-65.0,65.0,11.0,63.0,18.0,138.0,203.0,1790.0,5351.0,50449.0,5235.0,48770.0,108720.0,117.0,1218.0,110.0,882.0,1116.0,7.0,6.0,797.0,301.0,3681.0,5050.0,46768.0,390.0,2644.0,370.0,10.0,2.0,2392.0,54.0,20.0,382.0,2466.0,8.0,0.0,0.0,170.0,7.0,1.0,8.0,178.0,0.0,0.0,
Santa Cruz,1188.0,1207.0,-19.0,941.0,2129.0,945.0,641.0,1.0,25.0,0.0,264.0,0.0,49.0,0.0,40.0,1184.0,1042.0,11473.0,1024.0,11410.0,18.0,63.0,78.0,1438.0,24.0,1.0,0.0,613.0,3.0,0.0,25.0,616.0,-25.0,25.0,0.0,14.0,0.0,4.0,78.0,779.0,1120.0,12911.0,1118.0,12860.0,25769.0,2.0,47.0,2.0,44.0,0.0,7.0,0.0,7.0,109.0,1243.0,1011.0,11668.0,77.0,635.0,67.0,0.0,0.0,577.0,2.0,0.0,67.0,579.0,10.0,0.0,0.0,56.0,0.0,0.0,10.0,56.0,0.0,0.0,
Shasta,336.0,338.0,-2.0,1022.0,1358.0,1055.0,549.0,0.0,11.0,1.0,489.0,0.0,11.0,0.0,16.0,303.0,1378.0,10734.0,1378.0,10735.0,0.0,-1.0,59.0,1117.0,30.0,0.0,0.0,515.0,4.0,0.0,30.0,519.0,-31.0,31.0,9.0,35.0,7.0,141.0,44.0,391.0,1437.0,11851.0,1435.0,11811.0,25428.0,4.0,27.0,2.0,27.0,18.0,0.0,0.0,13.0,76.0,1088.0,1361.0,10763.0,165.0,916.0,163.0,0.0,0.0,892.0,3.0,0.0,163.0,895.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,21.0,0.0,0.0,
Sierra,7.0,7.0,0.0,14.0,21.0,17.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,154.0,6.0,154.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,167.0,7.0,167.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,6.0,152.0,1.0,12.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Siskiyou,165.0,171.0,-6.0,280.0,445.0,323.0,142.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,12.0,122.0,405.0,2589.0,405.0,2590.0,0.0,-1.0,46.0,305.0,23.0,0.0,0.0,117.0,0.0,2.0,23.0,119.0,2.0,-2.0,2.0,13.0,2.0,17.0,17.0,158.0,451.0,2894.0,450.0,2887.0,7081.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,5.0,30.0,228.0,421.0,2666.0,58.0,291.0,58.0,0.0,0.0,282.0,0.0,1.0,58.0,283.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,
Solano,793.0,811.0,-18.0,1254.0,2047.0,1291.0,818.0,2.0,32.0,0.0,380.0,0.0,68.0,0.0,93.0,756.0,2726.0,18800.0,2798.0,18612.0,-72.0,188.0,181.0,1668.0,72.0,2.0,0.0,734.0,4.0,6.0,74.0,744.0,-7.0,7.0,12.0,34.0,3.0,76.0,99.0,807.0,2907.0,20468.0,2887.0,20255.0,44110.0,191.0,167.0,19.0,149.0,87.0,65.0,1.0,64.0,158.0,1791.0,2749.0,18677.0,199.0,931.0,193.0,2.0,0.0,892.0,5.0,2.0,195.0,899.0,4.0,0.0,0.0,32.0,0.0,0.0,4.0,32.0,0.0,0.0,
Sonoma,834.0,843.0,-9.0,1402.0,2236.0,1359.0,831.0,0.0,91.0,0.0,472.0,0.0,114.0,0.0,56.0,877.0,1650.0,17135.0,1648.0,17056.0,2.0,79.0,62.0,1237.0,37.0,1.0,0.0,775.0,15.0,3.0,38.0,793.0,-15.0,15.0,4.0,23.0,31.0,239.0,4.0,167.0,1712.0,18372.0,1687.0,18094.0,36076.0,14.0,281.0,24.0,227.0,68.0,5.0,1.0,51.0,84.0,1315.0,1628.0,17057.0,127.0,902.0,123.0,1.0,0.0,796.0,16.0,1.0,124.0,813.0,3.0,0.0,0.0,88.0,1.0,0.0,3.0,89.0,0.0,0.0,
Stanislaus,821.0,841.0,-20.0,3109.0,3930.0,3175.0,1900.0,1.0,17.0,0.0,1154.0,0.0,9.0,0.0,121.0,755.0,5707.0,35002.0,5707.0,35004.0,0.0,-2.0,353.0,3174.0,110.0,0.0,0.0,1782.0,6.0,2.0,110.0,1790.0,-30.0,30.0,27.0,66.0,75.0,309.0,171.0,979.0,6060.0,38176.0,6037.0,37979.0,93423.0,15.0,197.0,23.0,159.0,43.0,2.0,0.0,38.0,321.0,3280.0,5739.0,34896.0,646.0,3208.0,639.0,3.0,0.0,3100.0,19.0,3.0,642.0,3122.0,4.0,0.0,0.0,86.0,0.0,0.0,4.0,86.0,0.0,0.0,
Sutter,160.0,182.0,-22.0,443.0,603.0,473.0,211.0,0.0,2.0,1.0,238.0,0.0,4.0,0.0,23.0,130.0,730.0,4617.0,731.0,4618.0,-1.0,-1.0,45.0,420.0,12.0,0.0,0.0,192.0,6.0,1.0,12.0,199.0,-2.0,2.0,6.0,21.0,2.0,29.0,27.0,169.0,775.0,5037.0,766.0,4968.0,13259.0,6.0,73.0,9.0,55.0,16.0,0.0,0.0,14.0,68.0,449.0,707.0,4588.0,86.0,406.0,84.0,1.0,0.0,391.0,6.0,0.0,85.0,397.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,9.0,0.0,0.0,
Tehama,111.0,118.0,-7.0,342.0,453.0,346.0,161.0,0.0,4.0,0.0,161.0,0.0,2.0,0.0,24.0,107.0,606.0,3910.0,607.0,3911.0,-1.0,-1.0,17.0,353.0,12.0,0.0,0.0,148.0,1.0,0.0,12.0,149.0,-21.0,21.0,7.0,24.0,2.0,31.0,17.0,128.0,623.0,4263.0,620.0,4233.0,10664.0,3.0,34.0,3.0,26.0,4.0,0.0,0.0,4.0,28.0,387.0,595.0,3876.0,93.0,300.0,91.0,0.0,0.0,285.0,4.0,0.0,91.0,289.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,11.0,0.0,0.0,
Trinity,28.0,31.0,-3.0,77.0,105.0,87.0,53.0,0.0,4.0,0.0,33.0,0.0,3.0,0.0,1.0,18.0,60.0,903.0,60.0,904.0,0.0,-1.0,7.0,108.0,2.0,0.0,0.0,51.0,0.0,0.0,2.0,51.0,1.0,-1.0,0.0,8.0,2.0,13.0,2.0,37.0,67.0,1011.0,67.0,1011.0,1902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,66.0,914.0,6.0,64.0,6.0,0.0,0.0,62.0,0.0,0.0,6.0,62.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Tulare  a/,7053.0,7053.0,0.0,2528.0,9581.0,2532.0,1967.0,7.0,27.0,4.0,489.0,0.0,35.0,0.0,72.0,7049.0,8687.0,44669.0,8558.0,43826.0,129.0,843.0,349.0,3681.0,193.0,1.0,0.0,1727.0,35.0,11.0,194.0,1773.0,2.0,-2.0,15.0,39.0,70.0,508.0,68.0,1363.0,9036.0,48350.0,8972.0,47435.0,126825.0,399.0,886.0,62.0,720.0,240.0,5.0,2.0,195.0,442.0,3324.0,8594.0,45026.0,652.0,2293.0,638.0,6.0,0.0,2169.0,36.0,4.0,644.0,2209.0,8.0,0.0,0.0,79.0,5.0,0.0,8.0,84.0,0.0,0.0,
Tuolumne,89.0,94.0,-5.0,242.0,331.0,233.0,139.0,1.0,3.0,0.0,81.0,0.0,1.0,0.0,13.0,98.0,324.0,2667.0,324.0,2667.0,0.0,0.0,18.0,236.0,3.0,0.0,0.0,136.0,0.0,0.0,3.0,136.0,1.0,-1.0,4.0,6.0,4.0,14.0,6.0,81.0,342.0,2903.0,341.0,2892.0,5784.0,3.0,8.0,1.0,8.0,5.0,0.0,0.0,3.0,24.0,211.0,318.0,2692.0,37.0,238.0,36.0,0.0,0.0,234.0,0.0,1.0,36.0,235.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,
Ventura,4329.0,4329.0,0.0,2800.0,7129.0,2839.0,1940.0,1.0,26.0,0.0,772.0,0.0,107.0,0.0,127.0,4290.0,2986.0,30940.0,3127.0,29821.0,-141.0,1119.0,297.0,4105.0,73.0,2.0,0.0,1837.0,16.0,12.0,75.0,1865.0,-3.0,3.0,0.0,0.0,0.0,0.0,225.0,2237.0,3283.0,35045.0,3257.0,34499.0,78569.0,44.0,452.0,26.0,357.0,224.0,0.0,0.0,189.0,149.0,2614.0,3134.0,32431.0,247.0,1518.0,245.0,0.0,0.0,1440.0,18.0,1.0,245.0,1459.0,2.0,0.0,0.0,57.0,2.0,0.0,2.0,59.0,0.0,0.0,
Yolo,352.0,352.0,0.0,779.0,1131.0,837.0,571.0,4.0,25.0,0.0,241.0,0.0,39.0,0.0,25.0,294.0,997.0,8745.0,1036.0,8589.0,-39.0,156.0,98.0,864.0,44.0,1.0,0.0,510.0,10.0,6.0,45.0,526.0,8.0,-8.0,0.0,0.0,0.0,0.0,45.0,346.0,1095.0,9609.0,1045.0,9382.0,20696.0,16.0,299.0,50.0,165.0,88.0,0.0,0.0,62.0,66.0,749.0,1029.0,8860.0,73.0,586.0,65.0,4.0,0.0,497.0,8.0,2.0,69.0,507.0,4.0,0.0,0.0,76.0,2.0,1.0,4.0,79.0,0.0,0.0,
Yuba,127.0,128.0,-1.0,509.0,636.0,535.0,299.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,18.0,101.0,795.0,5118.0,795.0,5118.0,0.0,0.0,64.0,556.0,18.0,1.0,0.0,278.0,1.0,1.0,19.0,280.0,12.0,-12.0,2.0,32.0,6.0,32.0,25.0,224.0,859.0,5674.0,853.0,5641.0,14018.0,0.0,43.0,6.0,26.0,8.0,0.0,0.0,7.0,38.0,527.0,821.0,5147.0,94.0,493.0,93.0,1.0,0.0,470.0,1.0,1.0,94.0,472.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,21.0,0.0,0.0,
