,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  APPLICATIONS FOR CALFRESH ,PART A.  ,PART A.  ,PART A.  ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B. PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART B. ,PART B. ,PART B. ,PART B.  CERTIFIED CASELOAD MOVEMENT,PART B. ,PART B. ,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.  RECERTIFICATIONS,PART C.,PART C.,PART C.,PART C.,PART C.,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
Plumas,42.0,42.0,0.0,120.0,162.0,104.0,59.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,3.0,58.0,96.0,918.0,96.0,918.0,0.0,0.0,9.0,113.0,3.0,0.0,0.0,54.0,2.0,0.0,3.0,56.0,-3.0,3.0,3.0,6.0,1.0,6.0,5.0,42.0,105.0,1031.0,105.0,1029.0,2062.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,117.0,101.0,914.0,9.0,73.0,9.0,0.0,0.0,69.0,2.0,0.0,9.0,71.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
Riverside,2930.0,2980.0,-50.0,8976.0,11906.0,9390.0,5075.0,7.0,19.0,7.0,3965.0,0.0,6.0,0.0,343.0,2516.0,16813.0,107217.0,16813.0,107218.0,0.0,-1.0,665.0,8904.0,349.0,4.0,2.0,4679.0,32.0,9.0,355.0,4720.0,-241.0,241.0,45.0,156.0,115.0,995.0,391.0,2792.0,17478.0,116121.0,17346.0,114956.0,299212.0,109.0,1098.0,124.0,944.0,262.0,20.0,8.0,221.0,959.0,9350.0,16519.0,106771.0,1691.0,8396.0,1662.0,12.0,0.0,8208.0,66.0,8.0,1674.0,8282.0,17.0,0.0,0.0,112.0,2.0,0.0,17.0,114.0,0.0,0.0,
Sacramento,1848.0,2133.0,-285.0,5925.0,7773.0,5705.0,3787.0,4.0,52.0,2.0,1791.0,0.0,81.0,0.0,125.0,2068.0,15737.0,81566.0,15593.0,81406.0,144.0,160.0,742.0,7171.0,439.0,19.0,0.0,3262.0,34.0,33.0,458.0,3329.0,-396.0,396.0,33.0,146.0,40.0,129.0,607.0,3171.0,16479.0,88737.0,16010.0,87074.0,220102.0,141.0,2231.0,458.0,1036.0,845.0,7.0,11.0,627.0,1148.0,8380.0,15331.0,80357.0,982.0,3693.0,936.0,29.0,0.0,3384.0,52.0,19.0,965.0,3455.0,17.0,0.0,0.0,233.0,4.0,1.0,17.0,238.0,0.0,0.0,
San Benito,67.0,67.0,0.0,215.0,282.0,195.0,97.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,13.0,87.0,277.0,2183.0,277.0,2182.0,0.0,1.0,-4.0,217.0,0.0,0.0,0.0,93.0,3.0,1.0,0.0,97.0,-17.0,17.0,3.0,7.0,0.0,7.0,10.0,89.0,273.0,2400.0,267.0,2373.0,5916.0,2.0,29.0,6.0,24.0,3.0,0.0,0.0,3.0,14.0,234.0,259.0,2166.0,32.0,189.0,31.0,1.0,0.0,181.0,5.0,1.0,32.0,187.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
San Bernardino,3046.0,3098.0,-52.0,10467.0,13513.0,10786.0,6774.0,2.0,4.0,10.0,3790.0,0.0,1.0,0.0,212.0,2727.0,26457.0,147132.0,26458.0,147133.0,-1.0,-1.0,1040.0,10457.0,322.0,6.0,0.0,6386.0,47.0,13.0,328.0,6446.0,-78.0,78.0,61.0,173.0,76.0,773.0,653.0,2987.0,27497.0,157589.0,27295.0,156269.0,405479.0,111.0,1262.0,195.0,982.0,409.0,47.0,7.0,338.0,1639.0,11958.0,25858.0,145631.0,2293.0,10769.0,2249.0,24.0,0.0,10603.0,71.0,11.0,2273.0,10685.0,20.0,0.0,0.0,84.0,0.0,0.0,20.0,84.0,0.0,0.0,
San Diego  a/,6511.0,6594.0,-83.0,8951.0,15462.0,9210.0,5766.0,4.0,65.0,6.0,3320.0,0.0,484.0,0.0,118.0,6252.0,14975.0,120623.0,14922.0,119960.0,53.0,663.0,713.0,8884.0,266.0,3.0,0.0,5366.0,79.0,52.0,269.0,5497.0,-43.0,43.0,14.0,151.0,8.0,196.0,465.0,2997.0,15688.0,129507.0,15350.0,126952.0,295848.0,262.0,2492.0,327.0,1750.0,1023.0,29.0,11.0,805.0,1038.0,10835.0,14650.0,118672.0,951.0,5477.0,874.0,18.0,1.0,4714.0,91.0,26.0,893.0,4831.0,57.0,1.0,0.0,629.0,12.0,5.0,58.0,646.0,0.0,0.0,
San Francisco,1404.0,1643.0,-239.0,2030.0,3434.0,2142.0,1359.0,12.0,30.0,1.0,680.0,0.0,145.0,0.0,102.0,1292.0,2442.0,29680.0,2402.0,29435.0,40.0,245.0,82.0,1972.0,59.0,2.0,0.0,1212.0,32.0,54.0,61.0,1298.0,-72.0,72.0,0.0,0.0,0.0,0.0,93.0,602.0,2524.0,31652.0,2375.0,30043.0,51665.0,69.0,1188.0,136.0,788.0,1166.0,52.0,13.0,821.0,214.0,2315.0,2310.0,29337.0,108.0,928.0,106.0,1.0,0.0,852.0,40.0,10.0,107.0,902.0,1.0,0.0,0.0,21.0,4.0,1.0,1.0,26.0,0.0,0.0,
San Joaquin,1203.0,1247.0,-44.0,2745.0,3948.0,2719.0,1620.0,2.0,26.0,3.0,969.0,0.0,6.0,0.0,127.0,1229.0,7884.0,42500.0,7884.0,42501.0,0.0,-1.0,150.0,2933.0,126.0,5.0,0.0,1455.0,25.0,9.0,131.0,1489.0,-203.0,203.0,35.0,92.0,44.0,333.0,143.0,816.0,8034.0,45433.0,7967.0,44830.0,120121.0,52.0,579.0,66.0,468.0,184.0,16.0,1.0,135.0,416.0,3378.0,7618.0,42055.0,709.0,3367.0,705.0,3.0,0.0,3272.0,49.0,9.0,708.0,3330.0,1.0,0.0,0.0,36.0,1.0,0.0,1.0,37.0,0.0,0.0,
San Luis Obispo,531.0,531.0,0.0,685.0,1216.0,683.0,384.0,2.0,13.0,0.0,217.0,0.0,19.0,0.0,82.0,533.0,985.0,8427.0,985.0,8427.0,0.0,0.0,42.0,649.0,31.0,1.0,0.0,347.0,4.0,1.0,32.0,352.0,-32.0,32.0,1.0,23.0,9.0,75.0,32.0,167.0,1027.0,9076.0,1021.0,9024.0,18643.0,0.0,58.0,6.0,43.0,8.0,2.0,0.0,9.0,69.0,783.0,958.0,8293.0,77.0,461.0,72.0,0.0,0.0,390.0,0.0,0.0,72.0,390.0,5.0,0.0,0.0,70.0,1.0,0.0,5.0,71.0,0.0,0.0,
San Mateo,5613.0,5613.0,0.0,1063.0,6676.0,1080.0,583.0,0.0,24.0,2.0,410.0,0.0,50.0,0.0,85.0,5596.0,1016.0,13548.0,1023.0,13863.0,-7.0,-315.0,64.0,1547.0,11.0,2.0,0.0,535.0,27.0,8.0,13.0,570.0,-10.0,10.0,15.0,16.0,0.0,172.0,46.0,779.0,1080.0,15095.0,1044.0,14445.0,31014.0,59.0,622.0,36.0,471.0,221.0,15.0,0.0,179.0,69.0,1374.0,1011.0,13721.0,65.0,527.0,64.0,0.0,0.0,487.0,17.0,5.0,64.0,509.0,1.0,0.0,0.0,17.0,1.0,0.0,1.0,18.0,0.0,0.0,
Santa Barbara,732.0,1136.0,-404.0,1711.0,2443.0,1505.0,1018.0,2.0,39.0,0.0,418.0,0.0,60.0,0.0,69.0,938.0,2047.0,13913.0,2087.0,14006.0,-40.0,-93.0,188.0,1429.0,85.0,1.0,0.0,916.0,13.0,3.0,86.0,932.0,17.0,-17.0,4.0,44.0,0.0,2.0,81.0,468.0,2235.0,15342.0,2218.0,15170.0,37226.0,14.0,139.0,14.0,129.0,5.0,53.0,3.0,43.0,143.0,1223.0,2092.0,14119.0,195.0,761.0,193.0,2.0,0.0,734.0,6.0,2.0,195.0,742.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,19.0,0.0,0.0,
Santa Clara,2714.0,2786.0,-72.0,2554.0,5268.0,2537.0,1581.0,6.0,13.0,3.0,651.0,0.0,28.0,0.0,302.0,2731.0,5123.0,46858.0,5050.0,46768.0,73.0,90.0,171.0,3129.0,108.0,4.0,0.0,1401.0,23.0,45.0,112.0,1469.0,-130.0,130.0,9.0,50.0,8.0,95.0,172.0,1385.0,5294.0,49987.0,5172.0,48330.0,107561.0,113.0,1206.0,119.0,870.0,1109.0,7.0,3.0,787.0,370.0,4012.0,4924.0,45975.0,326.0,2489.0,299.0,8.0,1.0,2199.0,39.0,16.0,308.0,2254.0,18.0,0.0,0.0,223.0,6.0,6.0,18.0,235.0,0.0,0.0,
Santa Cruz,1124.0,1184.0,-60.0,1016.0,2140.0,889.0,589.0,1.0,21.0,1.0,236.0,0.0,46.0,0.0,63.0,1251.0,1051.0,11805.0,1011.0,11668.0,40.0,137.0,78.0,1293.0,21.0,0.0,0.0,567.0,1.0,0.0,21.0,568.0,-27.0,27.0,3.0,17.0,0.0,1.0,81.0,680.0,1129.0,13098.0,1127.0,13044.0,26159.0,1.0,52.0,2.0,48.0,0.0,7.0,0.0,6.0,131.0,1260.0,998.0,11838.0,93.0,664.0,89.0,0.0,0.0,625.0,0.0,0.0,89.0,625.0,4.0,0.0,0.0,39.0,0.0,0.0,4.0,39.0,0.0,0.0,
Shasta,300.0,303.0,-3.0,866.0,1166.0,878.0,457.0,0.0,9.0,1.0,397.0,0.0,5.0,0.0,23.0,288.0,1361.0,10761.0,1361.0,10763.0,0.0,-2.0,54.0,907.0,23.0,0.0,0.0,429.0,2.0,3.0,23.0,434.0,-11.0,11.0,5.0,25.0,6.0,111.0,31.0,326.0,1415.0,11668.0,1412.0,11625.0,24970.0,5.0,28.0,3.0,28.0,19.0,0.0,0.0,15.0,81.0,1041.0,1334.0,10627.0,136.0,843.0,134.0,0.0,0.0,826.0,3.0,2.0,134.0,831.0,2.0,0.0,0.0,12.0,0.0,0.0,2.0,12.0,0.0,0.0,
Sierra,4.0,4.0,0.0,7.0,11.0,10.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,152.0,6.0,152.0,0.0,0.0,-1.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,162.0,5.0,162.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,145.0,1.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Siskiyou,119.0,122.0,-3.0,275.0,394.0,241.0,125.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,7.0,153.0,421.0,2665.0,421.0,2666.0,0.0,-1.0,27.0,239.0,11.0,0.0,0.0,113.0,1.0,0.0,11.0,114.0,-4.0,4.0,4.0,13.0,2.0,18.0,14.0,90.0,448.0,2904.0,447.0,2896.0,7129.0,0.0,5.0,1.0,3.0,6.0,0.0,0.0,5.0,31.0,261.0,417.0,2643.0,35.0,208.0,35.0,0.0,0.0,207.0,0.0,0.0,35.0,207.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Solano,726.0,756.0,-30.0,1153.0,1879.0,1195.0,751.0,6.0,32.0,1.0,341.0,0.0,64.0,0.0,102.0,684.0,2786.0,18714.0,2749.0,18677.0,37.0,37.0,133.0,1529.0,77.0,1.0,0.0,665.0,6.0,2.0,78.0,673.0,-66.0,66.0,25.0,22.0,6.0,64.0,90.0,704.0,2919.0,20243.0,2896.0,20038.0,43778.0,190.0,166.0,21.0,142.0,88.0,66.0,2.0,63.0,184.0,1895.0,2735.0,18348.0,190.0,884.0,186.0,1.0,0.0,859.0,8.0,1.0,187.0,868.0,3.0,0.0,0.0,16.0,0.0,0.0,3.0,16.0,0.0,0.0,
Sonoma,823.0,877.0,-54.0,1102.0,1925.0,1117.0,686.0,2.0,69.0,1.0,385.0,0.0,60.0,0.0,45.0,808.0,1640.0,17115.0,1628.0,17057.0,12.0,58.0,90.0,1069.0,41.0,0.0,0.0,633.0,8.0,4.0,41.0,645.0,3.0,-3.0,4.0,23.0,31.0,239.0,11.0,165.0,1730.0,18184.0,1700.0,17905.0,35768.0,13.0,287.0,29.0,226.0,68.0,5.0,1.0,53.0,114.0,1519.0,1616.0,16665.0,107.0,804.0,99.0,4.0,0.0,666.0,17.0,1.0,103.0,684.0,4.0,0.0,0.0,118.0,2.0,0.0,4.0,120.0,0.0,0.0,
Stanislaus,748.0,755.0,-7.0,2943.0,3691.0,2915.0,1800.0,1.0,10.0,1.0,1002.0,0.0,4.0,0.0,112.0,776.0,5739.0,34896.0,5739.0,34896.0,0.0,0.0,216.0,2860.0,108.0,0.0,0.0,1688.0,4.0,0.0,108.0,1692.0,-83.0,83.0,26.0,73.0,42.0,286.0,123.0,726.0,5955.0,37756.0,5933.0,37563.0,92154.0,15.0,194.0,22.0,158.0,40.0,1.0,0.0,35.0,370.0,3278.0,5585.0,34478.0,487.0,2753.0,484.0,3.0,0.0,2698.0,14.0,2.0,487.0,2714.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,
Sutter,122.0,130.0,-8.0,432.0,554.0,419.0,216.0,0.0,5.0,0.0,178.0,0.0,0.0,0.0,25.0,135.0,707.0,4588.0,707.0,4588.0,0.0,0.0,47.0,471.0,17.0,0.0,0.0,195.0,2.0,2.0,17.0,199.0,-21.0,21.0,7.0,35.0,2.0,27.0,42.0,189.0,754.0,5059.0,745.0,4991.0,13266.0,6.0,68.0,9.0,52.0,18.0,1.0,0.0,16.0,37.0,418.0,717.0,4641.0,92.0,422.0,91.0,0.0,0.0,403.0,5.0,1.0,91.0,409.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,13.0,0.0,0.0,
Tehama,100.0,107.0,-7.0,328.0,428.0,317.0,173.0,0.0,5.0,0.0,127.0,0.0,1.0,0.0,17.0,111.0,595.0,3876.0,595.0,3876.0,0.0,0.0,3.0,319.0,7.0,0.0,0.0,164.0,2.0,0.0,7.0,166.0,-18.0,18.0,5.0,15.0,2.0,17.0,7.0,103.0,598.0,4195.0,596.0,4166.0,10370.0,0.0,34.0,2.0,25.0,4.0,0.0,0.0,4.0,37.0,404.0,561.0,3791.0,81.0,285.0,80.0,0.0,0.0,279.0,0.0,0.0,80.0,279.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,
Trinity,17.0,18.0,-1.0,64.0,81.0,68.0,41.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0,13.0,66.0,914.0,66.0,914.0,0.0,0.0,5.0,85.0,1.0,0.0,0.0,40.0,0.0,0.0,1.0,40.0,1.0,-1.0,1.0,5.0,0.0,13.0,2.0,28.0,71.0,999.0,71.0,999.0,1867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,74.0,65.0,925.0,10.0,67.0,10.0,0.0,0.0,66.0,0.0,0.0,10.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Tulare  a/,7049.0,7049.0,0.0,2596.0,9645.0,2228.0,1808.0,4.0,15.0,2.0,349.0,0.0,36.0,0.0,69.0,7417.0,8592.0,44584.0,8584.0,44973.0,8.0,-389.0,250.0,3110.0,155.0,2.0,0.0,1610.0,35.0,6.0,157.0,1651.0,-4.0,4.0,10.0,50.0,39.0,384.0,48.0,1021.0,8842.0,47694.0,8771.0,46779.0,126333.0,375.0,900.0,69.0,722.0,239.0,5.0,2.0,193.0,626.0,4343.0,8216.0,43351.0,581.0,2171.0,564.0,6.0,0.0,2045.0,48.0,2.0,570.0,2095.0,11.0,0.0,0.0,74.0,2.0,0.0,11.0,76.0,0.0,0.0,
Tuolumne,96.0,98.0,-2.0,221.0,317.0,220.0,131.0,0.0,2.0,0.0,79.0,0.0,2.0,0.0,10.0,97.0,318.0,2692.0,318.0,2692.0,0.0,0.0,15.0,216.0,9.0,0.0,0.0,122.0,0.0,0.0,9.0,122.0,-4.0,4.0,2.0,9.0,2.0,9.0,6.0,72.0,333.0,2908.0,332.0,2898.0,5758.0,2.0,7.0,1.0,7.0,5.0,0.0,0.0,3.0,27.0,237.0,306.0,2671.0,39.0,218.0,39.0,0.0,0.0,215.0,0.0,0.0,39.0,215.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,
Ventura,4290.0,4290.0,0.0,2336.0,6626.0,2356.0,1590.0,2.0,30.0,0.0,666.0,0.0,137.0,0.0,100.0,4270.0,3140.0,32602.0,3134.0,32431.0,6.0,171.0,87.0,2454.0,70.0,1.0,0.0,1497.0,19.0,3.0,71.0,1519.0,-54.0,54.0,0.0,0.0,0.0,0.0,70.0,881.0,3227.0,35056.0,3206.0,34521.0,78269.0,48.0,439.0,21.0,357.0,228.0,0.0,0.0,178.0,172.0,3068.0,3055.0,31988.0,200.0,1120.0,191.0,3.0,0.0,1040.0,10.0,2.0,194.0,1052.0,6.0,0.0,0.0,67.0,1.0,0.0,6.0,68.0,0.0,0.0,
Yolo,294.0,294.0,0.0,668.0,962.0,708.0,526.0,3.0,14.0,0.0,170.0,0.0,26.0,0.0,12.0,254.0,1050.0,8890.0,1029.0,8860.0,21.0,30.0,68.0,782.0,38.0,2.0,0.0,472.0,12.0,2.0,40.0,486.0,-22.0,22.0,11.0,15.0,0.0,1.0,39.0,258.0,1118.0,9672.0,1070.0,9443.0,20870.0,15.0,303.0,48.0,167.0,82.0,0.0,0.0,62.0,90.0,841.0,1028.0,8831.0,84.0,559.0,77.0,2.0,0.0,442.0,9.0,1.0,79.0,452.0,5.0,0.0,0.0,105.0,2.0,0.0,5.0,107.0,0.0,0.0,
Yuba,101.0,101.0,0.0,408.0,509.0,410.0,228.0,0.0,0.0,1.0,170.0,0.0,0.0,0.0,11.0,99.0,821.0,5147.0,821.0,5147.0,0.0,0.0,70.0,437.0,9.0,0.0,0.0,217.0,1.0,1.0,9.0,219.0,22.0,-22.0,5.0,24.0,5.0,32.0,29.0,184.0,891.0,5584.0,887.0,5550.0,13867.0,0.0,42.0,4.0,27.0,8.0,0.0,0.0,7.0,35.0,535.0,856.0,5049.0,92.0,449.0,87.0,1.0,0.0,430.0,2.0,0.0,88.0,432.0,4.0,0.0,0.0,17.0,0.0,0.0,4.0,17.0,0.0,0.0,
