,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART A.  APPLICATIONS FOR CALFRESH ,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,,,,PART B.  CERTIFIED CASELOAD MOVEMENT,,,PART C.  RECERTIFICATIONS,,,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,,PART C.  RECERTIFICATIONS,,,,,CDSS Use Only
Sacramento,2518.0,3035.0,-517.0,7319.0,9837.0,7026.0,4425.0,5.0,92.0,4.0,2438.0,0.0,78.0,0.0,159.0,2811.0,16159.0,81182.0,16093.0,80896.0,66.0,286.0,878.0,7636.0,552.0,10.0,1.0,3797.0,38.0,27.0,563.0,3862.0,-326.0,326.0,25.0,135.0,53.0,178.0,563.0,3135.0,17037.0,88818.0,16604.0,87180.0,222338.0,164.0,2071.0,423.0,1015.0,848.0,2.0,10.0,623.0,1061.0,8262.0,15976.0,80556.0,1179.0,4403.0,1122.0,37.0,0.0,4061.0,55.0,18.0,1159.0,4134.0,19.0,1.0,0.0,258.0,7.0,4.0,20.0,269.0,0.0,0.0,
San Benito,73.0,73.0,0.0,200.0,273.0,185.0,100.0,0.0,0.0,0.0,75.0,0.0,1.0,0.0,10.0,88.0,276.0,2239.0,276.0,2240.0,0.0,-1.0,13.0,210.0,5.0,0.0,0.0,94.0,1.0,0.0,5.0,95.0,-3.0,3.0,3.0,4.0,1.0,21.0,7.0,87.0,289.0,2449.0,287.0,2429.0,6033.0,1.0,21.0,2.0,18.0,2.0,0.0,0.0,2.0,17.0,223.0,272.0,2226.0,37.0,153.0,37.0,0.0,0.0,149.0,2.0,0.0,37.0,151.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,
San Bernardino,3643.0,3702.0,-59.0,13123.0,16766.0,13145.0,8301.0,0.0,2.0,11.0,4517.0,0.0,3.0,0.0,316.0,3621.0,26704.0,146060.0,26653.0,145826.0,51.0,234.0,1252.0,11465.0,439.0,4.0,0.0,7770.0,61.0,27.0,443.0,7858.0,80.0,-80.0,51.0,193.0,60.0,590.0,618.0,2904.0,27956.0,157525.0,27779.0,156109.0,408183.0,110.0,1296.0,173.0,1037.0,450.0,52.0,4.0,379.0,1529.0,11237.0,26427.0,146288.0,2784.0,12794.0,2746.0,14.0,2.0,12542.0,105.0,23.0,2762.0,12670.0,22.0,0.0,0.0,123.0,1.0,0.0,22.0,124.0,0.0,0.0,
San Diego  a/,6780.0,6951.0,-171.0,10682.0,17462.0,10511.0,6427.0,5.0,77.0,11.0,3876.0,0.0,396.0,0.0,197.0,6951.0,15265.0,118938.0,15236.0,118134.0,29.0,804.0,946.0,9684.0,347.0,8.0,0.0,5917.0,104.0,51.0,355.0,6072.0,8.0,-8.0,21.0,176.0,16.0,167.0,546.0,3277.0,16211.0,128622.0,15895.0,126065.0,295249.0,269.0,2474.0,306.0,1763.0,1018.0,22.0,10.0,794.0,1007.0,10537.0,15204.0,118085.0,1286.0,6479.0,1211.0,24.0,0.0,5687.0,98.0,25.0,1235.0,5810.0,51.0,0.0,0.0,639.0,23.0,7.0,51.0,669.0,0.0,0.0,
San Francisco,1338.0,1517.0,-179.0,2549.0,3887.0,2279.0,1588.0,8.0,31.0,2.0,584.0,0.0,49.0,0.0,105.0,1608.0,2335.0,29308.0,2321.0,29033.0,14.0,275.0,182.0,2224.0,98.0,1.0,0.0,1404.0,40.0,45.0,99.0,1489.0,-33.0,33.0,0.0,0.0,0.0,0.0,116.0,702.0,2517.0,31532.0,2368.0,29962.0,51643.0,66.0,1177.0,138.0,776.0,1122.0,48.0,11.0,794.0,254.0,2969.0,2263.0,28563.0,158.0,1171.0,144.0,13.0,1.0,1088.0,41.0,12.0,158.0,1141.0,0.0,0.0,0.0,25.0,4.0,1.0,0.0,30.0,0.0,0.0,
San Joaquin,1246.0,1288.0,-42.0,3136.0,4382.0,3113.0,1806.0,1.0,18.0,5.0,1177.0,0.0,5.0,0.0,125.0,1269.0,8258.0,42525.0,8258.0,42525.0,0.0,0.0,296.0,3094.0,169.0,2.0,0.0,1603.0,24.0,8.0,171.0,1635.0,-101.0,101.0,20.0,97.0,45.0,328.0,161.0,933.0,8554.0,45619.0,8480.0,44990.0,122360.0,48.0,613.0,73.0,484.0,198.0,13.0,1.0,145.0,440.0,3247.0,8114.0,42372.0,920.0,3761.0,905.0,10.0,0.0,3680.0,37.0,8.0,915.0,3725.0,5.0,0.0,0.0,35.0,1.0,0.0,5.0,36.0,0.0,0.0,
San Luis Obispo,508.0,508.0,0.0,800.0,1308.0,734.0,389.0,3.0,8.0,0.0,225.0,0.0,13.0,0.0,120.0,574.0,1018.0,8282.0,1018.0,8282.0,0.0,0.0,62.0,709.0,32.0,1.0,0.0,354.0,1.0,1.0,33.0,356.0,-19.0,19.0,0.0,13.0,17.0,90.0,31.0,231.0,1080.0,8991.0,1074.0,8936.0,18476.0,0.0,61.0,6.0,44.0,10.0,2.0,0.0,11.0,54.0,728.0,1026.0,8263.0,68.0,454.0,68.0,0.0,0.0,412.0,2.0,0.0,68.0,414.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,40.0,0.0,0.0,
San Mateo,5280.0,5280.0,0.0,1399.0,6679.0,1276.0,714.0,2.0,24.0,0.0,471.0,0.0,37.0,0.0,91.0,5403.0,1057.0,13721.0,1071.0,13781.0,-14.0,-60.0,60.0,1603.0,31.0,0.0,0.0,644.0,28.0,11.0,31.0,683.0,-18.0,18.0,14.0,15.0,0.0,213.0,33.0,674.0,1117.0,15324.0,1080.0,14668.0,31440.0,47.0,629.0,35.0,479.0,225.0,5.0,2.0,177.0,63.0,1551.0,1054.0,13773.0,99.0,670.0,90.0,9.0,0.0,615.0,26.0,3.0,99.0,644.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,26.0,0.0,0.0,
Santa Barbara,514.0,828.0,-314.0,1451.0,1965.0,1218.0,832.0,3.0,23.0,1.0,325.0,0.0,30.0,0.0,60.0,747.0,2059.0,13408.0,2127.0,13350.0,-68.0,58.0,158.0,1244.0,80.0,0.0,0.0,744.0,6.0,2.0,80.0,752.0,-2.0,2.0,2.0,24.0,0.0,2.0,78.0,464.0,2217.0,14652.0,2201.0,14492.0,36142.0,17.0,124.0,14.0,115.0,2.0,57.0,2.0,45.0,138.0,1262.0,2079.0,13390.0,162.0,782.0,157.0,1.0,0.0,732.0,8.0,0.0,158.0,740.0,4.0,0.0,0.0,42.0,0.0,0.0,4.0,42.0,0.0,0.0,
Santa Clara,3028.0,3153.0,-125.0,3258.0,6286.0,3224.0,2098.0,4.0,40.0,2.0,772.0,0.0,43.0,0.0,352.0,3062.0,5277.0,46444.0,5245.0,46283.0,32.0,161.0,322.0,3835.0,164.0,7.0,2.0,1841.0,40.0,44.0,173.0,1925.0,-106.0,106.0,8.0,18.0,24.0,113.0,223.0,1673.0,5599.0,50279.0,5468.0,48563.0,109130.0,119.0,1281.0,125.0,916.0,1150.0,9.0,6.0,800.0,403.0,4305.0,5196.0,45974.0,363.0,2752.0,348.0,8.0,0.0,2495.0,51.0,19.0,356.0,2565.0,7.0,0.0,0.0,177.0,5.0,5.0,7.0,187.0,0.0,0.0,
Santa Cruz,1000.0,1063.0,-63.0,858.0,1858.0,714.0,436.0,1.0,17.0,0.0,231.0,0.0,29.0,0.0,47.0,1144.0,1116.0,11488.0,1161.0,11644.0,-45.0,-156.0,88.0,1183.0,24.0,0.0,0.0,411.0,0.0,1.0,24.0,412.0,-27.0,27.0,0.0,10.0,0.0,2.0,91.0,732.0,1204.0,12671.0,1203.0,12614.0,25643.0,1.0,59.0,1.0,49.0,0.0,8.0,0.0,8.0,137.0,1394.0,1067.0,11277.0,93.0,589.0,90.0,0.0,0.0,530.0,2.0,0.0,90.0,532.0,3.0,0.0,0.0,56.0,1.0,0.0,3.0,57.0,0.0,0.0,
Shasta,390.0,393.0,-3.0,1078.0,1468.0,1068.0,549.0,1.0,16.0,0.0,504.0,0.0,17.0,0.0,15.0,400.0,1441.0,10759.0,1441.0,10759.0,0.0,0.0,56.0,1080.0,41.0,0.0,0.0,507.0,0.0,1.0,41.0,508.0,-36.0,36.0,9.0,33.0,7.0,135.0,35.0,368.0,1497.0,11839.0,1493.0,11804.0,25634.0,2.0,27.0,4.0,22.0,18.0,0.0,0.0,13.0,88.0,1107.0,1409.0,10732.0,178.0,948.0,174.0,1.0,0.0,928.0,3.0,0.0,175.0,931.0,3.0,0.0,0.0,17.0,0.0,0.0,3.0,17.0,0.0,0.0,
Sierra,3.0,3.0,0.0,8.0,11.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,151.0,7.0,151.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,8.0,159.0,8.0,159.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,148.0,6.0,10.0,6.0,0.0,0.0,10.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Siskiyou,137.0,146.0,-9.0,290.0,427.0,296.0,138.0,0.0,2.0,0.0,138.0,0.0,0.0,0.0,20.0,131.0,413.0,2630.0,413.0,2630.0,0.0,0.0,29.0,255.0,17.0,0.0,0.0,121.0,0.0,0.0,17.0,121.0,-6.0,6.0,3.0,8.0,1.0,16.0,14.0,104.0,442.0,2885.0,441.0,2878.0,7125.0,1.0,5.0,1.0,5.0,2.0,0.0,0.0,2.0,29.0,257.0,413.0,2628.0,40.0,207.0,40.0,0.0,0.0,207.0,0.0,0.0,40.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Solano,669.0,745.0,-76.0,1560.0,2229.0,1396.0,883.0,2.0,25.0,1.0,380.0,0.0,70.0,0.0,132.0,833.0,2802.0,18890.0,2812.0,18725.0,-10.0,165.0,155.0,1589.0,76.0,0.0,0.0,793.0,9.0,5.0,76.0,807.0,-25.0,25.0,15.0,49.0,7.0,80.0,82.0,628.0,2957.0,20479.0,2938.0,20250.0,44182.0,207.0,184.0,19.0,163.0,86.0,67.0,0.0,66.0,166.0,1847.0,2791.0,18632.0,208.0,853.0,202.0,4.0,0.0,818.0,13.0,0.0,206.0,831.0,2.0,0.0,0.0,22.0,0.0,0.0,2.0,22.0,0.0,0.0,
Sonoma,558.0,608.0,-50.0,1375.0,1933.0,1130.0,713.0,1.0,45.0,2.0,373.0,0.0,80.0,0.0,42.0,803.0,1716.0,17222.0,1709.0,17121.0,7.0,101.0,61.0,1224.0,39.0,2.0,0.0,663.0,6.0,3.0,41.0,672.0,-19.0,19.0,11.0,27.0,28.0,291.0,0.0,215.0,1777.0,18446.0,1745.0,18168.0,36354.0,14.0,274.0,31.0,217.0,86.0,3.0,1.0,61.0,113.0,1399.0,1664.0,17047.0,121.0,984.0,113.0,2.0,0.0,889.0,10.0,1.0,115.0,900.0,5.0,1.0,0.0,82.0,1.0,1.0,6.0,84.0,0.0,0.0,
Stanislaus,864.0,883.0,-19.0,3280.0,4144.0,3358.0,2023.0,0.0,14.0,6.0,1214.0,0.0,6.0,0.0,115.0,786.0,5815.0,34944.0,5811.0,34915.0,4.0,29.0,399.0,3479.0,123.0,1.0,0.0,1887.0,10.0,2.0,124.0,1899.0,0.0,0.0,21.0,69.0,42.0,273.0,212.0,1238.0,6214.0,38423.0,6188.0,38216.0,94413.0,17.0,206.0,25.0,172.0,42.0,0.0,1.0,35.0,388.0,3217.0,5826.0,35206.0,744.0,3568.0,730.0,2.0,0.0,3502.0,20.0,3.0,732.0,3525.0,12.0,0.0,0.0,43.0,0.0,0.0,12.0,43.0,0.0,0.0,
Sutter,144.0,153.0,-9.0,451.0,595.0,425.0,202.0,1.0,1.0,0.0,202.0,0.0,3.0,0.0,21.0,170.0,717.0,4641.0,717.0,4641.0,0.0,0.0,33.0,394.0,12.0,1.0,0.0,184.0,3.0,2.0,13.0,189.0,-14.0,14.0,5.0,20.0,2.0,22.0,27.0,149.0,750.0,5035.0,737.0,4978.0,13223.0,6.0,64.0,13.0,43.0,15.0,0.0,0.0,14.0,47.0,455.0,703.0,4580.0,88.0,376.0,83.0,5.0,0.0,358.0,2.0,0.0,88.0,360.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,16.0,0.0,0.0,
Tehama,142.0,150.0,-8.0,397.0,539.0,408.0,212.0,0.0,8.0,0.0,168.0,0.0,6.0,0.0,28.0,131.0,610.0,3953.0,610.0,3953.0,0.0,0.0,22.0,354.0,11.0,1.0,0.0,200.0,0.0,0.0,12.0,200.0,4.0,-4.0,0.0,17.0,1.0,22.0,5.0,119.0,632.0,4307.0,627.0,4278.0,10798.0,0.0,29.0,5.0,24.0,5.0,0.0,0.0,5.0,34.0,348.0,598.0,3959.0,48.0,365.0,47.0,1.0,0.0,353.0,4.0,0.0,48.0,357.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,0.0,
Trinity,32.0,32.0,0.0,77.0,109.0,86.0,58.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,23.0,69.0,898.0,69.0,898.0,0.0,0.0,6.0,97.0,2.0,0.0,0.0,56.0,0.0,0.0,2.0,56.0,3.0,-3.0,1.0,4.0,0.0,16.0,0.0,24.0,75.0,995.0,75.0,994.0,1934.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,107.0,66.0,888.0,10.0,71.0,10.0,0.0,0.0,70.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Tulare  a/,6710.0,6710.0,0.0,2763.0,9473.0,2557.0,1992.0,7.0,27.0,4.0,489.0,0.0,35.0,0.0,72.0,6916.0,8744.0,44550.0,8745.0,44642.0,-1.0,-92.0,292.0,3405.0,166.0,2.0,0.0,1780.0,37.0,7.0,168.0,1824.0,0.0,0.0,12.0,45.0,47.0,382.0,65.0,1154.0,9036.0,47955.0,8976.0,47058.0,127281.0,431.0,876.0,58.0,708.0,238.0,3.0,2.0,189.0,516.0,3493.0,8520.0,44462.0,659.0,2546.0,592.0,4.0,0.0,2252.0,36.0,6.0,596.0,2294.0,63.0,0.0,0.0,248.0,4.0,0.0,63.0,252.0,0.0,0.0,
Tuolumne,97.0,106.0,-9.0,271.0,368.0,245.0,139.0,1.0,4.0,0.0,84.0,0.0,2.0,0.0,22.0,123.0,326.0,2648.0,326.0,2648.0,0.0,0.0,10.0,228.0,5.0,0.0,0.0,134.0,0.0,0.0,5.0,134.0,-10.0,10.0,1.0,9.0,1.0,16.0,13.0,59.0,336.0,2876.0,335.0,2865.0,5709.0,1.0,10.0,1.0,8.0,5.0,0.0,0.0,3.0,12.0,252.0,324.0,2624.0,48.0,226.0,48.0,0.0,0.0,221.0,1.0,0.0,48.0,222.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,
Ventura,2495.0,2495.0,0.0,2863.0,5358.0,2837.0,1909.0,5.0,52.0,0.0,799.0,0.0,168.0,0.0,129.0,2521.0,3117.0,31620.0,3104.0,31338.0,13.0,282.0,179.0,2834.0,101.0,0.0,0.0,1775.0,24.0,9.0,101.0,1808.0,-12.0,12.0,0.0,0.0,0.0,0.0,90.0,1014.0,3296.0,34454.0,3275.0,33920.0,77271.0,50.0,444.0,21.0,354.0,234.0,0.0,0.0,180.0,168.0,3225.0,3128.0,31229.0,262.0,1628.0,252.0,3.0,0.0,1533.0,18.0,9.0,255.0,1560.0,7.0,0.0,0.0,66.0,2.0,0.0,7.0,68.0,0.0,0.0,
Yolo,380.0,380.0,0.0,859.0,1239.0,876.0,543.0,9.0,31.0,0.0,291.0,0.0,38.0,0.0,42.0,363.0,942.0,8649.0,997.0,8529.0,-55.0,120.0,128.0,753.0,45.0,3.0,0.0,486.0,9.0,0.0,48.0,495.0,28.0,-28.0,9.0,25.0,0.0,2.0,43.0,259.0,1070.0,9402.0,1025.0,9156.0,20552.0,17.0,298.0,45.0,170.0,105.0,0.0,0.0,76.0,83.0,859.0,987.0,8543.0,72.0,604.0,65.0,3.0,0.0,482.0,5.0,6.0,68.0,493.0,4.0,0.0,0.0,110.0,0.0,1.0,4.0,111.0,0.0,0.0,
Yuba,130.0,131.0,-1.0,492.0,622.0,474.0,240.0,0.0,0.0,1.0,220.0,0.0,0.0,0.0,13.0,148.0,857.0,5141.0,857.0,5141.0,0.0,0.0,9.0,467.0,8.0,0.0,0.0,231.0,0.0,1.0,8.0,232.0,-28.0,28.0,5.0,26.0,1.0,31.0,23.0,150.0,866.0,5608.0,862.0,5576.0,13938.0,1.0,37.0,4.0,26.0,7.0,0.0,0.0,6.0,43.0,462.0,823.0,5146.0,85.0,431.0,84.0,0.0,0.0,418.0,1.0,0.0,84.0,419.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,0.0,0.0,
