county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate,issuances_mail,issuances_ebt,issuances_ebt_conv_coupon
Humboldt,1241,16,2,2650,10,8,3891,26,10,3276,5237,8513,54,18,36,10,90,28,1,9,10,,3815,495,4439,790432,8357,2600,929,798789,3529,802318,2003,MAR,3927,1,3/1/03,129,,
Imperial,1486,355,3,2825,506,106,4311,861,109,4585,8015,12600,910,381,1342,573,2252,954,3,117,120,,0,5377,5679,965795,175569,38814,14362,1141364,53176,1194540,2003,MAR,5281,1,3/1/03,302,,
Inyo,61,0,0,325,0,0,386,0,0,177,553,730,0,0,0,0,0,0,0,0,0,,0,0,408,63859,0,0,0,63859,0,63859,2003,MAR,386,1,3/1/03,408,,
Kern,6941,207,2,11499,582,65,18440,789,67,21148,32832,53980,615,237,1617,687,2232,924,2,61,63,,17828,0,23568,5127324,214648,36676,11357,5341972,48033,5390005,2003,MAR,19296,1,3/1/03,5740,,
Kings,1331,38,0,2716,73,25,4047,111,25,4038,7013,11051,123,44,226,81,349,125,0,25,25,,4455,0,4521,892153,30872,5388,3011,923025,8399,931424,2003,MAR,4183,1,3/1/03,66,,
Lake,901,3,1,1294,7,3,2195,10,4,2493,2709,5202,9,3,23,8,32,11,6,6,12,,0,2164,2768,511153,1698,499,999,512851,1498,514349,2003,MAR,2209,1,3/1/03,604,,
Lassen,288,2,0,383,4,1,671,6,1,838,860,1698,8,4,5,4,13,8,0,1,1,,0,433,729,142362,1026,371,139,143388,510,143898,2003,MAR,678,1,3/1/03,296,,
Los Angeles,94310,11419,798,136554,16633,9573,230864,28052,10371,225484,294321,519805,25422,12807,48463,20713,73885,33520,2240,11967,14207,,289958,0,289958,48354333,6794903,1886619,1702674,55149236,3589293,58738529,2003,MAR,269287,1,3/1/03,0,,
Madera,1474,8,0,3384,14,3,4858,22,3,4633,8668,13301,27,8,45,14,72,22,0,3,3,,5116,0,5198,1086538,168,110,0,1086706,110,1086816,2003,MAR,4883,1,3/1/03,82,,
Marin,376,41,0,906,45,34,1282,86,34,853,1587,2440,70,41,75,51,145,92,0,34,34,,0,0,1887,257693,13295,4080,3939,270988,8019,279007,2003,MAR,1402,1,3/1/03,1887,,
Mariposa,104,0,0,204,0,0,308,0,0,292,437,729,0,0,0,0,0,0,0,0,0,,0,318,332,60358,0,0,0,60358,0,60358,2003,MAR,308,1,3/1/03,14,,
Mendocino,813,7,0,1832,17,9,2645,24,9,2243,3695,5938,17,8,37,21,54,29,0,11,11,,0,1873,2922,504163,3348,1913,896,507511,2809,510320,2003,MAR,2678,1,3/1/03,1049,,
Merced,3303,159,4,4061,278,21,7364,437,25,9461,14827,24288,509,186,1347,387,1856,573,9,24,33,,7823,0,7826,1900366,85040,68278,3143,1985406,71421,2056827,2003,MAR,7826,1,3/1/03,3,,
Modoc,105,0,0,189,3,0,294,3,0,302,461,763,0,0,12,3,12,3,0,0,0,,0,0,297,58725,559,100,0,59284,100,59384,2003,MAR,297,1,3/1/03,297,,
Mono,19,0,0,83,0,0,102,0,0,51,160,211,0,0,0,0,0,0,0,0,0,,0,3,107,17556,0,0,0,17556,0,17556,2003,MAR,102,1,3/1/03,104,,
Monterey,2229,120,0,4086,218,17,6315,338,17,6330,10460,16790,327,127,629,235,956,362,0,18,18,,0,514,7344,1383195,91165,13859,2549,1474360,16408,1490768,2003,MAR,6670,1,3/1/03,6830,,
Napa,164,2,0,535,11,11,699,13,11,437,1171,1608,5,2,27,11,32,13,0,17,17,,0,0,912,156923,3612,1116,2119,160535,3235,163770,2003,MAR,723,1,3/1/03,912,,
Nevada,281,0,0,530,0,0,811,0,0,715,1034,1749,0,0,0,0,0,0,0,0,0,,0,101,879,150718,0,0,0,150718,0,150718,2003,MAR,811,1,3/1/03,778,,
Orange,11605,966,44,12892,1544,551,24497,2510,595,28864,31831,60695,2343,1117,4307,1951,6650,3068,110,753,863,,0,28753,28753,4752758,597416,156904,110448,5350174,267352,5617526,2003,MAR,27602,1,3/1/03,0,,
Placer,817,12,0,997,7,1,1814,19,1,2139,2079,4218,17,16,26,20,43,36,0,1,1,,0,1219,2108,378567,3720,2223,144,382287,2367,384654,2003,MAR,1834,1,3/1/03,889,,
Plumas,92,0,0,144,0,0,236,0,0,221,296,517,0,0,0,0,0,0,0,0,0,,159,0,264,42068,0,0,0,42068,0,42068,2003,MAR,236,1,3/1/03,105,,
Riverside,13054,524,32,6184,716,273,19238,1240,305,36843,14033,50876,1474,549,2013,851,3487,1400,67,231,298,,22154,0,22982,4558992,313252,62588,57258,4872244,119846,4992090,2003,MAR,20783,1,3/1/03,828,,
Sacramento,18439,774,154,15627,492,347,34066,1266,501,57841,39526,97367,2471,1245,1823,954,4294,2199,559,635,1194,,32237,0,37304,7832589,333934,123618,90196,8166523,213814,8380337,2003,MAR,35833,1,3/1/03,5067,,
San Benito,298,5,0,543,20,6,841,25,6,877,1265,2142,11,5,51,25,62,30,0,6,6,,0,0,977,183022,5815,1368,563,188837,1931,190768,2003,MAR,872,1,3/1/03,977,,
San Bernardino,23272,953,21,17875,1317,367,41147,2270,388,67853,45954,113807,2691,1050,4120,1584,6811,2634,65,506,571,,0,51511,51522,9896097,590351,111943,76346,10486448,188289,10674737,2003,MAR,43805,1,3/1/03,11,,
San Diego,14420,1486,44,10428,1168,433,24848,2654,477,39026,26815,65841,3808,1642,3520,1460,7328,3102,119,600,719,,0,426,30503,5249760,586928,139120,77320,5836688,216440,6053128,2003,MAR,27979,1,3/1/03,30077,,
San Francisco,4533,397,53,11226,449,1163,15759,846,1216,11572,13676,25248,846,480,537,608,1383,1088,127,1493,1620,,17732,0,17732,2288789,133222,49878,135682,2422011,185560,2607571,2003,MAR,17821,1,3/1/03,0,,
San Joaquin,6230,562,6,7198,858,56,13428,1420,62,17722,18236,35958,2006,667,3007,1098,5013,1765,12,78,90,,16089,0,16209,3122005,417309,80237,11401,3539314,91638,3630952,2003,MAR,14910,1,3/1/03,120,,
San Luis Obispo,1106,8,0,1427,23,9,2533,31,9,2739,3202,5941,13,12,43,32,56,44,0,12,12,,2968,0,2968,504920,7617,2419,1227,512537,3646,516183,2003,MAR,2573,1,3/1/03,0,,
San Mateo,1245,37,2,1577,58,35,2822,95,37,2926,3048,5974,82,46,122,67,204,113,5,59,64,,0,0,0,557871,29168,7002,6866,587039,13868,600907,2003,MAR,2954,1,3/1/03,0,,
Santa Barbara,3323,174,9,2790,199,46,6113,373,55,6754,7396,14150,353,176,604,297,957,473,17,69,86,,0,0,7222,1157049,112692,28199,7901,1269741,36100,1305841,2003,MAR,6541,1,3/1/03,7222,,
Santa Clara,8277,574,28,7605,1132,886,15882,1706,914,21765,16309,38074,1304,643,2832,1408,4136,2051,68,1198,1266,,0,18844,18844,3266876,353672,114760,145983,3620548,260743,3881291,2003,MAR,18502,1,3/1/03,0,,
Santa Cruz,1359,61,1,2391,62,11,3750,123,12,3094,4998,8092,118,65,88,74,206,139,1,12,13,,0,0,0,732432,31458,10723,1823,763890,12546,776436,2003,MAR,3885,1,3/1/03,0,,
Shasta,1697,39,0,2525,46,5,4222,85,5,4649,5498,10147,126,46,129,56,255,102,0,6,6,,0,397,5262,898812,22735,4622,564,921547,5186,926733,2003,MAR,4312,1,3/1/03,4865,,
Sierra,19,0,0,33,0,0,52,0,0,61,61,122,0,0,0,0,0,0,0,0,0,,0,0,52,9099,0,0,0,9099,0,9099,2003,MAR,52,1,3/1/03,52,,
Siskiyou,483,8,0,872,8,2,1355,16,2,1381,1931,3312,23,10,18,10,41,20,0,2,2,,0,254,1494,279146,3826,956,243,282972,1199,284171,2003,MAR,1373,1,3/1/03,1240,,
Solano,2974,86,3,1796,28,47,4770,114,50,8418,3301,11719,208,100,59,36,267,136,7,55,62,,0,5684,5684,991346,28328,5736,6197,1019674,11933,1031607,2003,MAR,4934,1,3/1/03,0,,
Sonoma,1577,18,0,2555,108,32,4132,126,32,3529,4734,8263,36,18,275,121,311,139,0,32,32,,0,702,4667,718973,33826,7935,3796,752799,11731,764530,2003,MAR,4290,1,3/1/03,3965,,
Stanislaus,5467,110,5,5017,212,52,10484,322,57,16205,14889,31094,287,132,656,286,943,418,13,92,105,,10922,455,11377,2472298,79350,18727,10323,2551648,29050,2580698,2003,MAR,10863,1,3/1/03,0,,
Sutter,504,21,2,985,51,5,1489,72,7,1443,2554,3997,69,24,164,61,233,85,2,6,8,,0,304,1643,348818,18796,3688,1106,367614,4794,372408,2003,MAR,1568,1,3/1/03,1339,,
Tehama,690,24,1,1242,42,11,1932,66,12,1709,2665,4374,67,28,130,46,197,74,1,11,12,,0,0,1976,357284,13825,5113,1304,371109,6417,377526,2003,MAR,2010,1,3/1/03,1976,,
Trinity,123,0,0,184,0,1,307,0,1,383,399,782,0,0,0,0,0,0,0,1,1,,0,80,308,70686,0,0,139,70686,139,70825,2003,MAR,308,1,3/1/03,228,,
Tulare,9424,745,7,5699,693,112,15123,1438,119,28769,13978,42747,2185,1696,1653,1400,3838,3096,19,570,589,,17062,0,17064,3440567,340812,83845,20867,3781379,104712,3886091,2003,MAR,16680,1,3/1/03,2,,
Tuolumne,383,0,0,460,0,0,843,0,0,1020,1024,2044,0,0,0,0,0,0,0,0,0,,893,0,896,162548,0,0,0,162548,0,162548,2003,MAR,843,1,3/1/03,3,,
Ventura,3587,135,21,4744,289,143,8331,424,164,9733,11520,21253,330,143,783,359,1113,502,58,185,243,,0,8919,8919,1690139,100053,22612,24658,1790192,47270,1837462,2003,MAR,8919,1,3/1/03,0,,
Yolo,1730,105,15,1168,26,24,2898,131,39,4987,2337,7324,290,204,69,32,359,236,43,57,100,,0,3068,3068,612195,26466,17873,8474,638661,26347,665008,2003,MAR,3068,1,3/1/03,0,,
Yuba,1198,40,1,1214,32,10,2412,72,11,3932,2993,6925,248,47,153,43,401,90,2,10,12,,0,540,2715,555124,27125,6432,1702,582249,8134,590383,2003,MAR,2495,1,3/1/03,2175,,
California,306984,7021,982,362965,10389,6061,669949,17410,7043,837448,867416,1704864,16840,8598,28684,13748,45524,22346,2827,8887,11714,154894,480624,101659,737177,147499200,4188172,1162046,1272920,151687372,2434966,154122338,2003,MAY,694402,2,5/1/03,,,
Alameda,13348,180,0,8819,121,206,22167,301,206,34171,22577,56748,362,186,296,141,658,327,0,262,262,0,22674,0,22674,4413424,40034,19895,41014,4453458,60909,4514367,2003,MAY,22674,2,5/1/03,,,
Alpine,9,0,0,29,0,0,38,0,0,25,59,84,0,0,0,0,0,0,0,0,0,38,0,0,38,7813,0,0,0,7813,0,7813,2003,MAY,38,2,5/1/03,,,
Amador,136,1,0,267,2,1,403,3,1,367,531,898,2,1,4,2,6,3,0,1,1,399,0,41,440,78163,0,0,0,78163,0,78163,2003,MAY,407,2,5/1/03,,,
Butte,2472,31,0,3420,31,6,5892,62,6,7296,8052,15348,154,39,143,47,297,86,0,7,7,6453,0,0,6453,1291362,21380,6173,695,1312742,6868,1319610,2003,MAY,5960,2,5/1/03,,,
Calaveras,221,0,0,440,0,0,661,0,0,589,893,1482,0,0,0,0,0,0,0,0,0,604,0,113,717,126717,0,0,0,126717,0,126717,2003,MAY,661,2,5/1/03,,,
Colusa,84,0,0,313,10,2,397,10,2,220,834,1054,0,0,30,16,30,16,0,4,4,428,0,0,428,80247,2196,371,360,82443,731,83174,2003,MAY,409,2,5/1/03,,,
Contra Costa,5860,179,7,2780,99,55,8640,278,62,15873,5510,21383,526,240,219,189,745,429,17,76,93,9956,0,0,9956,1777364,65771,16005,9550,1843135,25555,1868690,2003,MAY,8980,2,5/1/03,,,
Del Norte,513,4,0,698,1,2,1211,5,2,1541,1443,2984,13,4,11,1,24,5,0,2,2,142,0,1076,1218,240537,2112,322,278,242649,600,243249,2003,MAY,1218,2,5/1/03,,,
El Dorado,590,7,0,1070,11,5,1660,18,5,1568,2071,3639,13,7,24,12,37,19,0,5,5,1754,73,0,1827,309263,3634,651,695,312897,1346,314243,2003,MAY,1683,2,5/1/03,,,
Fresno,19503,231,3,10633,275,37,30136,506,40,65453,28180,93633,706,270,781,389,1487,659,11,73,84,111,29613,2313,32037,7419548,75464,30381,6054,7495012,36435,7531447,2003,MAY,30682,2,5/1/03,,,
Glenn,235,0,0,528,0,3,763,0,3,712,1419,2131,0,0,0,0,0,0,0,4,4,824,0,0,824,164460,0,0,534,164460,534,164994,2003,MAY,766,2,5/1/03,,,
Humboldt,1236,12,0,2720,6,3,3956,18,3,3275,5397,8672,45,12,28,6,73,18,0,9,9,144,3776,508,4428,793749,6682,1648,824,800431,2472,802903,2003,MAY,3977,2,5/1/03,,,
Imperial,1585,256,2,3089,414,69,4674,670,71,4908,8831,13739,640,269,1128,482,1768,751,2,77,79,296,0,5744,6040,1068611,138878,28011,8141,1207489,36152,1243641,2003,MAY,5415,2,5/1/03,,,
Inyo,57,0,0,326,0,0,383,0,0,154,785,939,0,0,0,0,0,0,0,0,0,406,0,0,406,64879,0,0,0,64879,0,64879,2003,MAY,383,2,5/1/03,,,
Kern,6885,186,2,12211,571,61,19096,757,63,20941,35014,55955,533,216,1525,670,2058,886,2,26,28,5830,18067,0,23897,5237488,198008,34701,9863,5435496,44564,5480060,2003,MAY,19916,2,5/1/03,,,
Kings,1270,38,0,2837,89,26,4107,127,26,3868,7310,11178,107,43,273,99,380,142,0,28,28,76,4425,0,4501,884134,32236,5941,3422,916370,9363,925733,2003,MAY,4260,2,5/1/03,,,
Lake,840,3,0,1268,3,1,2108,6,1,2261,2710,4971,9,3,14,5,23,8,0,1,1,636,0,2182,2818,514412,1082,349,139,515494,488,515982,2003,MAY,2115,2,5/1/03,,,
Lassen,260,3,0,407,3,3,667,6,3,752,936,1688,5,5,4,3,9,8,0,3,3,286,0,501,787,145909,819,449,375,146728,824,147552,2003,MAY,676,2,5/1/03,,,
Los Angeles,102208,2697,554,156037,4549,3454,258245,7246,4008,249678,357203,606881,6075,3140,12950,5630,19025,8770,1654,4876,6530,0,289237,0,289237,56076045,1825421,522152,747727,57901466,1269879,59171345,2003,MAY,269499,2,5/1/03,,,
Madera,1485,6,0,3437,17,3,4922,23,3,4665,8693,13358,17,6,68,17,85,23,0,3,3,57,5125,0,5182,1107343,826,251,106,1108169,357,1108526,2003,MAY,4948,2,5/1/03,,,
Marin,412,42,0,1161,52,38,1573,94,38,965,1800,2765,77,42,67,52,144,94,0,39,39,1896,0,0,1896,265056,14443,5087,4510,279499,9597,289096,2003,MAY,1705,2,5/1/03,,,
Mariposa,103,0,0,209,0,0,312,0,0,298,440,738,0,0,0,0,0,0,0,0,0,9,0,317,326,61369,0,0,0,61369,0,61369,2003,MAY,312,2,5/1/03,,,
Mendocino,817,7,0,1949,8,6,2766,15,6,2194,3950,6144,20,9,15,8,35,17,0,7,7,1077,0,1917,2994,505783,2484,1323,782,508267,2105,510372,2003,MAY,2787,2,5/1/03,,,
Merced,3492,83,0,4646,142,11,8138,225,11,9762,15955,25717,250,94,558,176,808,270,0,12,12,8374,0,0,8374,1969969,42476,30155,1409,2012445,31564,2044009,2003,MAY,8374,2,5/1/03,,,
Modoc,102,0,0,180,2,0,282,2,0,313,450,763,0,0,8,3,8,3,0,0,0,284,0,0,284,59586,488,0,0,60074,0,60074,2003,MAY,284,2,5/1/03,,,
Mono,21,0,0,102,1,0,123,1,0,58,192,250,0,0,3,1,3,1,0,0,0,117,0,10,127,20585,217,99,0,20802,99,20901,2003,MAY,124,2,5/1/03,,,
Monterey,2222,143,1,3997,206,19,6219,349,20,6333,10272,16605,367,153,600,218,967,371,1,20,21,6628,0,447,7075,1371258,93212,18849,2650,1464470,21499,1485969,2003,MAY,6588,2,5/1/03,,,
Napa,157,1,0,525,11,11,682,12,11,397,1214,1611,5,1,25,12,30,13,0,20,20,906,0,0,906,150660,3779,1305,2281,154439,3586,158025,2003,MAY,705,2,5/1/03,,,
Nevada,283,0,0,552,1,0,835,1,0,699,1100,1799,0,0,5,1,5,1,0,0,0,799,0,127,926,156261,28,75,0,156289,75,156364,2003,MAY,836,2,5/1/03,,,
Orange,12239,186,24,14977,461,130,27216,647,154,31549,39036,70585,375,220,1020,566,1395,786,65,210,275,0,0,28996,28996,5514877,172183,46442,30702,5687060,77144,5764204,2003,MAY,28017,2,5/1/03,,,
Placer,811,12,0,950,6,1,1761,18,1,2071,2077,4148,25,23,25,18,50,41,0,1,1,818,0,1046,1864,342243,3964,2195,133,346207,2328,348535,2003,MAY,1780,2,5/1/03,,,
Plumas,89,0,0,137,0,0,226,0,0,208,289,497,0,0,0,0,0,0,0,0,0,236,5,0,241,39295,0,0,0,39295,0,39295,2003,MAY,226,2,5/1/03,,,
Riverside,13964,268,30,7204,296,177,21168,564,207,39201,16049,55250,772,280,858,358,1630,638,62,130,192,0,24337,0,24337,5035906,144595,27291,38329,5180501,65620,5246121,2003,MAY,21939,2,5/1/03,,,
Sacramento,18160,466,174,16787,305,282,34947,771,456,56748,43988,100736,1151,808,982,576,2133,1384,625,516,1141,4911,32439,0,37350,8144571,185037,65662,87047,8329608,152709,8482317,2003,MAY,36174,2,5/1/03,,,
San Benito,308,5,0,548,24,8,856,29,8,923,1292,2215,12,5,58,29,70,34,0,8,8,979,0,0,979,179507,5919,1017,903,185426,1920,187346,2003,MAY,893,2,5/1/03,,,
San Bernardino,24252,174,18,19434,365,212,43686,539,230,71286,51795,123081,454,198,1133,431,1587,629,57,315,372,0,0,51190,51190,10691586,148893,31069,52328,10840479,83397,10923876,2003,MAY,44455,2,5/1/03,,,
San Diego,15260,504,32,11919,483,225,27179,987,257,42053,32229,74282,1095,569,1187,593,2282,1162,95,332,427,30509,0,415,30924,5904324,216923,61634,45284,6121247,106918,6228165,2003,MAY,28423,2,5/1/03,,,
San Francisco,4819,183,43,12522,197,440,17341,380,483,12514,15511,28025,301,225,256,271,557,496,115,605,720,0,18009,0,18009,2503091,67759,23216,61679,2570850,84895,2655745,2003,MAY,18204,2,5/1/03,,,
San Joaquin,6774,89,4,8013,194,13,14787,283,17,20779,22737,43516,303,105,619,269,922,374,5,16,21,96,15439,0,15535,3632793,78173,18423,3433,3710966,21856,3732822,2003,MAY,15087,2,5/1/03,,,
San Luis Obispo,1106,8,0,1427,23,9,2533,31,9,2739,3202,5941,13,12,43,32,56,44,0,12,12,3046,0,0,3046,510870,7298,2085,1042,518168,3127,521295,2003,MAY,2573,2,5/1/03,,,
San Mateo,1345,24,0,1657,47,21,3002,71,21,3238,3431,6669,64,24,106,47,170,71,0,10,10,0,0,0,0,630458,12827,9171,3469,643285,12640,655925,2003,MAY,3094,2,5/1/03,,,
Santa Barbara,3262,157,7,2920,181,34,6182,338,41,6725,7516,14241,322,160,543,269,865,429,15,59,74,6994,0,0,6994,1230166,89542,11839,7447,1319708,19286,1338994,2003,MAY,6561,2,5/1/03,,,
Santa Clara,9211,96,13,9391,218,228,18602,314,241,24655,21085,45740,185,111,428,276,613,387,35,415,450,19511,0,0,19511,3895235,63650,27789,48780,3958885,76569,4035454,2003,MAY,19157,2,5/1/03,,,
Santa Cruz,1388,46,0,2490,45,9,3878,91,9,3195,5191,8386,80,49,45,54,125,103,0,10,10,0,0,0,0,736706,20611,5485,1285,757317,6770,764087,2003,MAY,3978,2,5/1/03,,,
Shasta,1646,28,0,2563,59,7,4209,87,7,4383,5656,10039,93,33,181,68,274,101,0,7,7,4988,0,222,5210,922967,23131,5152,433,946098,5585,951683,2003,MAY,4303,2,5/1/03,,,
Sierra,16,0,0,28,0,0,44,0,0,52,58,110,0,0,0,0,0,0,0,0,0,44,0,0,44,7811,0,0,0,7811,0,7811,2003,MAY,44,2,5/1/03,,,
Siskiyou,487,5,0,902,9,3,1389,14,3,1413,1952,3365,16,7,21,11,37,18,0,3,3,1262,0,266,1528,282121,3408,923,481,285529,1404,286933,2003,MAY,1406,2,5/1/03,,,
Solano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2003,MAY,0,2,5/1/03,,,
Sonoma,1709,5,0,2724,9,24,4433,14,24,3922,5307,9229,10,5,56,33,66,38,0,38,38,5683,0,0,5683,799753,8375,2071,1309,808128,3380,811508,2003,MAY,4471,2,5/1/03,,,
Stanislaus,5546,77,45,5562,169,3,11108,246,48,16333,16184,32517,183,91,535,226,718,317,8,78,86,12135,0,0,12135,2631385,58668,15767,8580,2690053,24347,2714400,2003,MAY,11402,2,5/1/03,,,
Sutter,503,5,0,1052,3,21,1555,8,21,1455,2860,4315,21,5,77,25,98,30,0,4,4,1307,0,390,1697,356638,8135,1301,402,364773,1703,366476,2003,MAY,1584,2,5/1/03,,,
Tehama,692,27,2,1205,43,16,1897,70,18,1701,2688,4389,67,30,133,50,200,80,5,17,22,1980,0,0,1980,355219,14850,6065,2665,370069,8730,378799,2003,MAY,1985,2,5/1/03,,,
Trinity,120,0,0,199,0,1,319,0,1,343,433,776,0,0,0,0,0,0,0,1,1,237,0,83,320,67401,0,0,139,67401,139,67540,2003,MAY,320,2,5/1/03,,,
Tulare,9812,409,4,5916,466,88,15728,875,92,30281,14662,44943,861,718,948,1011,1809,1729,6,403,409,2,16490,0,16492,3591400,199831,52014,14569,3791231,66583,3857814,2003,MAY,16695,2,5/1/03,,,
Tuolumne,391,0,0,476,0,0,867,0,0,1070,1011,2081,0,0,0,0,0,0,0,0,0,3,915,0,918,167356,0,0,0,167356,0,167356,2003,MAY,867,2,5/1/03,,,
Ventura,3723,39,11,4820,103,49,8543,142,60,10283,11664,21947,115,44,453,278,568,322,35,69,104,9424,0,0,9424,1744770,36210,8401,10210,1780980,18611,1799591,2003,MAY,8745,2,5/1/03,,,
Yolo,1784,49,5,1250,26,25,3034,75,30,5259,2603,7862,111,75,54,33,165,108,11,58,69,0,0,3139,3139,653920,18429,6495,6736,672349,13231,685580,2003,MAY,3139,2,5/1/03,,,
Yuba,1161,49,1,1242,32,13,2403,81,14,3733,3089,6822,285,61,144,44,429,105,1,15,16,2199,0,616,2815,564836,28091,6346,4126,592927,10472,603399,2003,MAY,2498,2,5/1/03,,,
California,299802,25336,1356,301110,27364,14920,600912,52700,16276,826718,688671,1515389,66055,30383,80002,35209,146057,65592,3931,19458,23389,,552750,75251,723330,127790959,12472148,3341983,2649635,140263107,5991618,146254725,2002,NOV,669888,4,11/1/02,95329,,
Alameda,13693,189,0,6966,95,228,20659,284,228,35054,17833,52887,406,197,246,110,652,307,0,296,296,,21171,0,21171,4048275,37836,17816,44678,4086111,62494,4148605,2002,NOV,21171,4,11/1/02,0,,
Alpine,15,0,0,21,0,0,36,0,0,43,60,103,0,0,0,0,0,0,0,0,0,,0,0,36,6786,0,0,0,6786,0,6786,2002,NOV,36,4,11/1/02,36,,
Amador,125,1,0,266,1,0,391,2,0,336,562,898,2,1,3,1,5,2,0,0,0,,0,59,429,76347,0,0,0,76347,0,76347,2002,NOV,393,4,11/1/02,370,,
Butte,2534,30,0,3223,27,9,5757,57,9,7396,7623,15019,138,35,125,32,263,67,0,9,9,,0,0,6756,1220017,19382,4054,1055,1239399,5109,1244508,2002,NOV,5823,4,11/1/02,6756,,
Calaveras,191,0,0,438,0,1,629,0,1,506,891,1397,0,0,0,0,0,0,0,3,3,,0,108,670,114440,0,0,14,114440,14,114454,2002,NOV,630,4,11/1/02,562,,
Colusa,81,6,0,239,27,5,320,33,5,235,603,838,14,6,69,36,83,42,0,6,6,,0,0,412,61300,5945,1315,704,67245,2019,69264,2002,NOV,358,4,11/1/02,412,,
Contra Costa,5624,310,9,2402,89,88,8026,399,97,14951,4665,19616,931,385,218,122,1149,507,24,118,142,,8598,0,8601,1578232,91382,21411,14530,1669614,35941,1705555,2002,NOV,8522,4,11/1/02,3,,
Del Norte,496,5,0,697,2,1,1193,7,1,1507,1436,2943,17,5,13,2,30,7,0,1,1,,0,1080,1201,232476,2562,464,139,235038,603,235641,2002,NOV,1201,4,11/1/02,121,,
El Dorado,585,12,0,927,16,10,1512,28,10,1573,1819,3392,23,12,36,18,59,30,0,10,10,,61,0,1697,282420,4895,1179,1225,287315,2404,289719,2002,NOV,1550,4,11/1/02,1636,,
Fresno,18003,1416,14,9085,778,147,27088,2194,161,59304,22230,81534,4770,1647,2171,956,6941,2603,34,212,246,,29633,0,30358,6367122,539997,110548,25222,6907119,135770,7042889,2002,NOV,29443,4,11/1/02,725,,
Glenn,227,2,0,427,9,3,654,11,3,697,1112,1809,4,2,34,9,38,11,0,4,4,,0,0,720,131717,2391,805,482,134108,1287,135395,2002,NOV,668,4,11/1/02,720,,
Humboldt,1325,12,0,2516,13,8,3841,25,8,3592,5021,8613,40,13,42,13,82,26,0,8,8,,3621,481,4223,750192,7142,2265,697,757334,2962,760296,2002,NOV,3874,4,11/1/02,121,,
Imperial,1541,376,2,2924,538,95,4465,914,97,4748,8310,13058,943,404,1420,631,2363,1035,2,103,105,,0,5679,5975,1004229,192510,38185,12095,1196739,50280,1247019,2002,NOV,5476,4,11/1/02,296,,
Inyo,70,0,0,285,0,0,355,0,0,203,485,688,0,0,0,0,0,0,0,0,0,,0,0,368,57495,0,0,0,57495,0,57495,2002,NOV,355,4,11/1/02,368,,
Kern,7444,184,2,10818,444,48,18262,628,50,22958,30672,53630,589,212,1234,534,1823,746,2,44,46,,17245,0,22697,4755438,157113,30688,7638,4912551,38326,4950877,2002,NOV,18940,4,11/1/02,5452,,
Kings,1297,42,1,2366,65,19,3663,107,20,3879,5987,9866,140,49,216,72,356,121,1,19,20,,3954,0,4023,751479,26841,3839,2581,778320,6420,784740,2002,NOV,3790,4,11/1/02,69,,
Lake,870,5,1,1126,7,3,1996,12,4,2331,2300,4631,19,7,22,8,41,15,6,6,12,,0,1833,2298,413905,2341,424,426,416246,850,417096,2002,NOV,2012,4,11/1/02,465,,
Lassen,252,2,0,339,1,0,591,3,0,718,787,1505,4,2,4,1,8,3,0,0,0,,0,379,638,123063,697,109,0,123760,109,123869,2002,NOV,594,4,11/1/02,259,,
Los Angeles,98735,13892,856,130521,16178,9860,229256,30070,10716,239003,279093,518096,31311,15926,47443,20306,78754,36232,2447,12088,14535,,292500,0,292500,47812852,7114293,2027733,1734673,54927145,3762406,58689551,2002,NOV,270042,4,11/1/02,0,,
Madera,1397,8,0,2903,11,6,4300,19,6,4458,7400,11858,26,8,42,11,68,19,0,7,7,,4530,0,4600,894328,3196,699,2956,897524,3655,901179,2002,NOV,4325,4,11/1/02,70,,
Marin,376,31,0,1027,37,33,1403,68,33,866,1485,2351,67,35,76,54,143,89,0,35,35,,0,0,1806,240864,11427,4436,4687,252291,9123,261414,2002,NOV,1504,4,11/1/02,1806,,
Mariposa,92,0,0,211,0,0,303,0,0,262,434,696,0,0,0,0,0,0,0,0,0,,0,313,321,56148,0,0,0,56148,0,56148,2002,NOV,303,4,11/1/02,8,,
Mendocino,800,3,0,1604,18,9,2404,21,9,2154,3401,5555,8,3,48,24,56,27,0,11,11,,0,1628,2568,433618,3283,1559,1158,436901,2717,439618,2002,NOV,2434,4,11/1/02,940,,
